algorithm,total_runs,mean_area,median_area,area_iqr_q1,area_iqr_q3,area_ci95,mean_rel_volume_error,mean_rel_height_error,mean_evals,mean_time_s,overall_feasibility_rate,overall_engineering_feasibility_rate,feasible_runs,feasible_area_mean,feasible_area_median,engineering_feasible_runs,engineering_feasible_area_mean,engineering_feasible_area_median
SA,80,7814.556695520831,7770.278751944882,7749.159375291918,7791.320282710705,37.167137588560706,0.0005276855211245777,0.0005104168859395325,11500.0,1.98277228474617,0.7125,0.5,57,7841.719642286307,7770.673031942565,40,7763.476056088705,7755.5672816984
PSO,80,8264.795612250444,8071.384107097784,7821.7246958074775,8484.339242167742,126.82043877681942,0.016975132190244168,0.005947951490436186,11500.0,2.521147111058235,0.5,0.075,40,8213.115039698012,7935.86617137553,6,7766.463346463804,7751.557275697212
BFGS,80,7866.437850237463,7765.452544759676,7741.717219150001,7789.814883903072,71.33980317322607,0.00040331607914525987,0.0003718228909450348,4407.9,1.228691467642784,0.7375,0.6125,59,7871.02479662328,7742.564311632573,49,7749.6867427380275,7741.717219150071
