Algorithm,Problem,Run_ID,Best_Value,Time_s,Evals,Success
SA,rastrigin,0,4.974827118744315,0.05768895149230957,10000,False
SA,rastrigin,1,4.975306723274841,0.05646109580993652,10000,False
SA,rastrigin,2,25.868709433870045,0.056243181228637695,10000,False
SA,rastrigin,3,4.974869793529848,0.057173967361450195,10000,False
SA,rastrigin,4,24.873791119290203,0.06511306762695312,10000,False
SA,rastrigin,5,24.8742422643614,0.05617380142211914,10000,False
SA,rastrigin,6,16.91433120798571,0.056667327880859375,10000,False
SA,rastrigin,7,33.82838309587297,0.05654478073120117,10000,False
SA,rastrigin,8,40.79297935671511,0.055699825286865234,10000,False
SA,rastrigin,9,24.873768849728826,0.05643796920776367,10000,False
SA,rastrigin,10,33.82869320459616,0.05613088607788086,10000,False
SA,rastrigin,11,33.82843534743814,0.056989192962646484,10000,False
SA,rastrigin,12,19.89942688565324,0.05522298812866211,10000,False
SA,rastrigin,13,12.934451542408292,0.05576801300048828,10000,False
SA,rastrigin,14,3.9800478727786057,0.055088043212890625,10000,False
SA,rastrigin,15,24.87394241131129,0.05512499809265137,10000,False
SA,rastrigin,16,9.670444832161017,0.05630302429199219,10000,False
SA,rastrigin,17,4.975089647578539,0.0563359260559082,10000,False
SA,rastrigin,18,3.981056739598092,0.05546212196350098,10000,False
SA,rastrigin,19,28.853635191969516,0.05855894088745117,10000,False
SA,rastrigin,20,16.914275446283643,0.0559229850769043,10000,False
SA,rastrigin,21,19.899269221889615,0.056468963623046875,10000,False
SA,rastrigin,22,9.950065419875177,0.05679798126220703,10000,False
SA,rastrigin,23,15.919297516893092,0.05447077751159668,10000,False
SA,rastrigin,24,24.87412462379561,0.05603504180908203,10000,False
SA,rastrigin,25,16.914616005837864,0.05539417266845703,10000,False
SA,rastrigin,26,4.975050738870435,0.05533289909362793,10000,False
SA,rastrigin,27,16.91538941814369,0.05472874641418457,10000,False
SA,rastrigin,28,4.9748542550762025,0.05692124366760254,10000,False
SA,rastrigin,29,19.89931339966135,0.05601096153259277,10000,False
PSO,rastrigin,0,0.0,0.06994891166687012,10020,True
PSO,rastrigin,1,0.0,0.07038378715515137,10020,True
PSO,rastrigin,2,0.0,0.06874799728393555,10020,True
PSO,rastrigin,3,0.0,0.0693821907043457,10020,True
PSO,rastrigin,4,0.0,0.0704808235168457,10020,True
PSO,rastrigin,5,0.0,0.07002592086791992,10020,True
PSO,rastrigin,6,0.0,0.07019376754760742,10020,True
PSO,rastrigin,7,0.9949590570932898,0.07047700881958008,10020,False
PSO,rastrigin,8,0.0,0.06898117065429688,10020,True
PSO,rastrigin,9,0.0,0.06957888603210449,10020,True
PSO,rastrigin,10,0.9949590570932898,0.06929612159729004,10020,False
PSO,rastrigin,11,0.9949590570932898,0.06956005096435547,10020,False
PSO,rastrigin,12,0.0,0.06922411918640137,10020,True
PSO,rastrigin,13,0.0,0.06921648979187012,10020,True
PSO,rastrigin,14,0.9949590570932898,0.06879186630249023,10020,False
PSO,rastrigin,15,0.0,0.06885981559753418,10020,True
PSO,rastrigin,16,0.0,0.06967902183532715,10020,True
PSO,rastrigin,17,0.0,0.06963896751403809,10020,True
PSO,rastrigin,18,0.9949590570932898,0.06998395919799805,10020,False
PSO,rastrigin,19,0.0,0.06918025016784668,10020,True
PSO,rastrigin,20,0.0,0.06918978691101074,10020,True
PSO,rastrigin,21,0.0,0.06985187530517578,10020,True
PSO,rastrigin,22,0.0,0.0685281753540039,10020,True
PSO,rastrigin,23,0.0,0.0687260627746582,10020,True
PSO,rastrigin,24,0.0,0.06976103782653809,10020,True
PSO,rastrigin,25,0.9949590570932898,0.0684199333190918,10020,False
PSO,rastrigin,26,0.0,0.07033276557922363,10020,True
PSO,rastrigin,27,0.0,0.07054376602172852,10020,True
PSO,rastrigin,28,0.9949590570932898,0.06964778900146484,10020,False
PSO,rastrigin,29,0.0,0.0705709457397461,10020,True
SA,rosenbrock,0,1.4082228499622804e-05,0.06496787071228027,10000,True
SA,rosenbrock,1,1.4219225830564868e-05,0.06537604331970215,10000,True
SA,rosenbrock,2,1.4283146366660898e-05,0.062087297439575195,10000,True
SA,rosenbrock,3,2.830561153360571e-05,0.06244206428527832,10000,True
SA,rosenbrock,4,1.7126918687132554e-05,0.06246304512023926,10000,True
SA,rosenbrock,5,1.1517459765944185e-05,0.062425851821899414,10000,True
