z_m,radius_m
0.000000,39.300000
3.600000,36.587383
7.300000,34.485266
10.900000,31.859486
14.600000,21.920858
18.200000,12.990834
21.900000,5.000000
25.500000,5.000000
29.100000,17.015832
32.800000,23.022303
36.500000,27.400000
