z_m,radius_m
0.000000,39.300000
1.843860,34.940000
4.236606,30.730000
7.114972,27.010000
10.676361,23.770000
14.751097,21.420000
19.357742,20.150000
24.375220,20.220000
28.882863,21.580000
32.996693,24.080000
36.496849,27.400000
