z_m,radius_m
0.000000,39.300000
1.499899,36.252614
2.999829,33.375612
4.499786,30.823407
5.999764,28.735754
8.160246,27.238956
12.049131,26.444818
19.049133,26.442169
26.049136,26.615312
32.704572,26.955551
36.402034,27.400000
