z_m,radius_m
0.000000,39.300000
3.041667,34.411828
6.083333,29.857026
9.125000,25.885291
12.166667,22.673640
15.208333,20.336033
18.250000,18.931202
21.291667,18.468433
24.333333,18.911106
27.375000,20.177873
30.416667,22.141490
33.458333,24.625620
36.500000,27.400000
