z_m,radius_m
0.000000,39.300000
1.523643,36.444891
3.530585,33.683448
5.030585,31.110863
6.991023,28.714974
10.485715,26.821113
16.570174,25.879290
22.035103,25.893120
27.426604,26.179757
32.585158,26.654116
36.418965,27.400000
