z_m,radius_m
0.000000,39.300000
3.600000,31.828388
7.300000,26.866330
10.900000,23.608923
14.600000,21.431667
18.200000,20.244229
21.900000,19.879261
25.500000,20.329145
29.100000,21.606813
32.800000,23.892617
36.500000,27.400000
