z_m,radius_m
0.000000,39.300000
3.041667,32.314452
6.083333,27.701400
9.125000,24.760760
12.166667,22.997046
15.208333,21.189207
18.250000,19.128474
21.291667,17.882822
24.333333,18.948854
27.375000,21.657624
30.416667,24.489566
33.458333,26.431160
36.500000,27.400000
