z_m,radius_m
0.000000,39.300000
1.566529,34.940000
4.075971,30.730000
6.828081,27.010000
9.934562,23.770000
12.698391,21.420000
16.827522,20.150000
19.438791,20.220000
25.360439,21.580000
32.625468,24.080000
36.503270,27.400000
