z_m,radius_m
0.000000,39.300000
3.650000,31.748083
7.300000,26.865787
10.950000,23.571703
14.600000,21.430682
18.250000,20.232640
21.900000,19.878164
25.550000,20.339946
29.200000,21.653741
32.850000,23.930337
36.500000,27.400000
