z_m,radius_m
0.000000,39.300000
3.600000,33.458247
7.300000,28.176401
10.900000,23.846221
14.600000,20.717235
18.200000,18.918617
21.900000,18.474727
25.500000,19.314446
29.100000,21.273450
32.800000,24.091268
36.500000,27.400000
