z_m,radius_m
0.000000,39.300000
3.600000,31.944304
7.300000,27.051941
10.900000,23.870800
14.600000,21.559708
18.200000,20.244581
21.900000,19.719592
25.500000,20.193831
29.100000,21.243175
32.800000,23.727453
36.500000,27.400000
