z_m,radius_m
0.000000,39.300000
3.600000,33.619519
7.300000,28.477308
10.900000,24.019323
14.600000,20.741071
18.200000,18.708194
21.900000,18.030548
25.500000,18.792541
29.100000,21.175854
32.800000,24.155914
36.500000,27.400000
