z_m,radius_m
0.000000,39.300000
3.650000,31.899213
7.300000,26.799007
10.950000,23.545149
14.600000,21.335220
18.250000,20.248060
21.900000,19.888830
25.550000,20.283096
29.200000,21.565995
32.850000,24.020782
36.500000,27.400000
