scenario_id,algorithm,runs,mean_area,std_area,mean_rel_volume_error,mean_rel_height_error,mean_monotonic_violation,mean_evals,mean_time_s,feasibility_rate,best_feasible_area,best_penalized_objective
S1,SA,10,7783.357235447975,5.129011111709053,0.0010514514555173258,0.0,0.0,10000.0,0.4924142360687256,0.4,7782.320523509726,212585.79568279837
S1,PSO,10,7993.192316560026,251.34745131193887,0.004407761649730222,0.0,0.002970150009071126,10000.0,0.5356521368026733,0.3,7768.245646151162,215034.8887792043
S1,BFGS,10,7782.005334368255,1.3195585563659059e-08,0.001536546839340642,0.0,0.0,5001.0,0.24161186218261718,0.0,,211178.3404808078
S2,SA,10,7766.93595341788,29.805966873519555,4.277830377838165e-05,0.0,0.0,10000.0,0.4271760225296021,1.0,7743.1652053765865,7743.175724944987
S2,PSO,10,9008.371998142396,629.4859850302561,0.1375473909124032,0.0,0.09112034677715038,10000.0,0.48113863468170165,0.4,8950.269561322819,8142.097610938963
S2,BFGS,10,8574.899807459238,709.9551018307566,0.00025481126224235985,0.0,1.8915464498547862e-05,4215.4,0.16677331924438477,0.9,7741.672759154895,7741.673480770329
S3,SA,10,7750.712856042075,12.990632808363298,2.6404304001695724e-05,0.0,0.0,10000.0,0.3981361389160156,1.0,7742.4819417370645,7743.214982708692
S3,PSO,10,8551.224240019465,598.3859258759746,4.49090036548179e-05,0.0,3.471015527409804e-05,10000.0,0.4315335273742676,0.7,7752.815890003757,7752.821381943522
S3,BFGS,10,7862.584735063652,362.67873308436054,5.9663254137805894e-05,0.0,0.0,2410.2,0.09971852302551269,1.0,7741.6918240355235,7741.69254589312
S4,SA,10,7776.900478286069,12.828134264016786,0.0017116092975657453,0.0,0.0,10000.0,0.5251024723052978,0.2,7767.582834246786,127446.65260062493
S4,PSO,10,8183.831451686616,485.20632665798024,0.020061132593494586,0.0,0.038494515695439976,10000.0,0.5602479696273803,0.2,7758.281348191696,148220.44300252
S4,BFGS,10,7779.854558454795,7.946159121063412e-08,0.0008915050498762452,0.0,0.0,4391.3,0.2267946720123291,1.0,7779.854558248441,125740.21197638652
S5,SA,10,7758.486334108171,6.641725850801745,4.107888867840345e-05,0.00012963070587815068,0.0,10000.0,0.3887233018875122,1.0,7750.967419279275,7752.5147548673785
S5,PSO,10,7802.447867009291,23.760925740406414,0.00043021401493190695,0.0025824599493230677,0.0,10000.0,0.41490812301635743,0.7,7766.968494299119,7771.1905688037405
S5,BFGS,10,7742.564311632576,6.46886698027136e-11,2.3305172152348143e-06,8.74685724107109e-05,0.0,3371.2,0.12679176330566405,1.0,7742.564311632478,7742.794921917649
S6,SA,10,7847.584418543006,27.68189744946659,5.216543578216187e-05,0.00024627829540054414,0.0,10000.0,0.3867721796035767,1.0,7799.325664462017,7803.141157377225
S6,PSO,10,7971.102882866662,107.03735255889379,2.8122456688679894e-06,8.634054255823422e-05,0.0,10000.0,0.42147657871246336,1.0,7794.547928034531,7794.819887423007
S6,BFGS,10,7741.717219150052,7.979384267601366e-11,2.0706662261348087e-06,8.631654019783058e-05,0.0,1403.3,0.054102540016174316,1.0,7741.717219149997,7741.941593035127
S7,SA,10,8213.607014204026,258.5055533647487,0.00012702310909667595,0.0003546095386668087,0.0,16000.0,0.7192629337310791,0.8,7853.588699159153,7855.139941072909
S7,PSO,10,8475.394885101097,478.14503591380753,0.0016488838040249663,0.01978775405850925,0.013266431776766296,16000.0,0.7750615119934082,0.6,8131.207305098777,8131.432986541601
S7,BFGS,10,7851.715245946034,305.1908514773022,5.9587325693891816e-05,0.0001296968227985714,0.0,7000.9,0.32511923313140867,1.0,7740.659881286203,7740.8763937887525
S8,SA,10,7660.778111673973,38.0553921752336,0.0006456053620623425,0.006162635028382125,0.0020817731161375972,16000.0,0.9483417749404908,0.0,,54220.60888267716
S8,PSO,10,8363.766217073266,635.9108756922773,0.02747739681789412,0.09963134928073941,0.04116272192720878,16000.0,1.0288480281829835,0.0,,105791.86335286988
S8,BFGS,10,7812.999651980744,2.024543635792561,0.0004221626731114197,0.0026626085441343638,0.0026661669812984455,7000.9,0.4414746999740601,0.0,,45886.16996825638
