scenario_id,algorithm,run_index,seed,penalized_objective,area,volume,total_height,rel_volume_error,rel_height_error,monotonic_violation,feasible,n_evals,time_s,budget,decision_vector
S1,SA,0,0,213733.3746511843,7779.78378716375,70453.42807840375,36.5,0.0018974413879942352,0.0,0.0,False,10000,0.5054869651794434,10000,"[33.39446744890997, 27.99207049546575, 23.552746250363565, 20.592130315553625, 18.92888452725896, 18.662898241437055, 19.55427351404814, 21.54828710150456, 24.245398978079514]"
S1,SA,1,1,213256.02514960975,7781.528715291982,70531.96639863182,36.5,0.0030143116984047095,0.0,0.0,False,10000,0.5012710094451904,10000,"[33.40378475250276, 28.249483072357176, 23.959166547231263, 20.7525454697276, 18.948943030245594, 18.494524200334826, 19.284096077758296, 21.245489442159645, 24.134235635147895]"
S1,SA,2,2,213100.56189141204,7776.757793469661,70450.23397246812,36.5,0.0018520189486365525,0.0,0.0,False,10000,0.5024287700653076,10000,"[33.40070914665431, 28.015655588188256, 23.69934351104138, 20.597780319391156, 18.98652940374852, 18.670421564471326, 19.561315666936054, 21.382026000382293, 24.14722690539873]"
S1,SA,3,3,212708.24835867947,7781.640681562011,70375.03576189779,36.5,0.0007826473534952626,0.0,0.0,True,10000,0.5058810710906982,10000,"[33.38154837091208, 28.04059311613787, 23.700274871483145, 20.68463446687373, 18.935105694128406, 18.493980763339977, 19.422523753234724, 21.375759315451294, 24.226547138718523]"
S1,SA,4,4,212762.5555229983,7787.622606873825,70323.39385528048,36.5,4.826301593395465e-05,0.0,0.0,True,10000,0.5097780227661133,10000,"[33.49883708268692, 28.291542883956268, 23.993863332869076, 20.7353161546402, 18.79188514941908, 18.34806632203845, 19.157939354766278, 21.130390498930012, 23.99723565822518]"
S1,SA,5,5,213015.53034970342,7780.730869847986,70341.35359399034,36.5,0.0003036631682357464,0.0,0.0,True,10000,0.5325338840484619,10000,"[33.31767139185037, 28.01673875204929, 23.804637453569235, 20.742376283486937, 18.965775285066396, 18.487825024050384, 19.330964322248338, 21.340839437478696, 24.21343947540056]"
S1,SA,6,6,212717.0951073588,7781.8110658016885,70515.01683968681,36.5,0.0027732770148863805,0.0,0.0,False,10000,0.5133011341094971,10000,"[33.53921702268518, 28.192671636647034, 23.861850980817344, 20.743944582802573, 18.97121824283415, 18.47795860256055, 19.292531311964982, 21.205689899072265, 24.110910190143713]"
S1,SA,7,7,212872.7072817525,7783.975095341355,70344.48494352915,36.5,0.000348193167365677,0.0,0.0,True,10000,0.5123529434204102,10000,"[33.57137484772716, 28.19588350084221, 23.81764064197494, 20.704387345917457, 18.87491258215344, 18.44540092323721, 19.248610946383625, 21.18656849073421, 23.987724109909443]"
S1,SA,8,8,214520.589006032,7790.983232945082,70325.67181986218,36.5,8.065727904126877e-05,0.0,0.0,True,10000,0.49991488456726074,10000,"[33.5657300216188, 28.382848172603843, 24.109767849384138, 20.84794749414015, 18.88761086930083, 18.229438360523737, 18.897390467393105, 20.995554079662043, 23.92550556027428]"
S1,SA,9,9,214013.10335963557,7773.638009875304,70415.81926540873,36.5,0.0013626175399421567,0.0,0.0,False,10000,0.50478196144104,10000,"[33.181079997258436, 27.848891551702255, 23.644104742277182, 20.71478251998777, 19.083274125367105, 18.723499542087076, 19.54265860365235, 21.531318158960172, 24.29612351566902]"
