algorithm,total_runs,mean_area,mean_rel_volume_error,mean_rel_height_error,mean_evals,mean_time_s,overall_feasibility_rate
SA,80,7814.556695520831,0.0005276855211245726,0.0005104168859395373,11500.0,0.5448406040668488,0.7125
PSO,80,8264.795612314945,0.016975132185192414,0.005947951489890002,11500.0,0.5802925169467926,0.5
BFGS,80,7850.642204175699,0.0004018138626249002,0.00038067916352284206,4227.8625,0.20610748529434203,0.725
