algorithm,total_runs,mean_area,mean_rel_volume_error,mean_evals,mean_time_s,overall_feasibility_rate
SA,80,7819.795300215397,0.0004622645195603415,11500.0,0.5357411324977874,0.675
PSO,80,8293.666482307352,0.023952562630225334,11500.0,0.5811083137989044,0.4875
BFGS,80,7893.542608006918,0.00040358469848046673,4349.275,0.21029832661151887,0.7375
