Algorithm,Problem,Run_ID,Best_Value,Time_s,Evals,Success
SA,rastrigin,0,4.974827118744315,0.1489863395690918,10000,False
SA,rastrigin,1,4.9753067232748425,0.1253032684326172,10000,False
SA,rastrigin,2,25.868709433870045,0.1236886978149414,10000,False
SA,rastrigin,3,4.974869793529848,0.12583041191101074,10000,False
SA,rastrigin,4,24.873791119290203,0.12051892280578613,10000,False
SA,rastrigin,5,24.8742422643614,0.11992144584655762,10000,False
SA,rastrigin,6,16.91433120798571,0.12297415733337402,10000,False
SA,rastrigin,7,33.82838309587298,0.11783528327941895,10000,False
SA,rastrigin,8,40.79297935671511,0.21212506294250488,10000,False
SA,rastrigin,9,24.873768849728826,0.34314703941345215,10000,False
SA,rastrigin,10,33.82869320459616,0.3341042995452881,10000,False
SA,rastrigin,11,33.82843534743814,0.35163164138793945,10000,False
SA,rastrigin,12,19.89942688565324,0.3621807098388672,10000,False
SA,rastrigin,13,12.934451542408294,0.34658241271972656,10000,False
SA,rastrigin,14,3.9800478727786057,0.36034607887268066,10000,False
SA,rastrigin,15,24.87394241131129,0.3692781925201416,10000,False
SA,rastrigin,16,9.670444832161012,0.35769081115722656,10000,False
SA,rastrigin,17,4.975089647578539,0.3622567653656006,10000,False
SA,rastrigin,18,3.981056739598092,0.3560640811920166,10000,False
SA,rastrigin,19,28.853635191969516,0.3614494800567627,10000,False
SA,rastrigin,20,16.914275446283643,0.3460214138031006,10000,False
SA,rastrigin,21,19.899269221889615,0.3374776840209961,10000,False
SA,rastrigin,22,9.950065419875177,0.34660792350769043,10000,False
SA,rastrigin,23,15.919297516893092,0.34670281410217285,10000,False
SA,rastrigin,24,24.87412462379561,0.347243070602417,10000,False
SA,rastrigin,25,16.914616005837864,0.3515772819519043,10000,False
SA,rastrigin,26,4.975050738870435,0.35526299476623535,10000,False
SA,rastrigin,27,16.91538941814369,0.38696980476379395,10000,False
SA,rastrigin,28,4.9748542550762025,0.3839375972747803,10000,False
SA,rastrigin,29,19.89931339966135,0.4627368450164795,10000,False
PSO,rastrigin,0,0.0,0.47941136360168457,10020,True
PSO,rastrigin,1,0.0,0.47859859466552734,10020,True
PSO,rastrigin,2,0.0,0.4409317970275879,10020,True
PSO,rastrigin,3,0.0,0.42746996879577637,10020,True
PSO,rastrigin,4,0.0,0.4261748790740967,10020,True
PSO,rastrigin,5,0.0,0.4409453868865967,10020,True
PSO,rastrigin,6,0.0,0.4196958541870117,10020,True
PSO,rastrigin,7,0.9949590570932898,0.42915868759155273,10020,False
PSO,rastrigin,8,0.0,0.4282073974609375,10020,True
PSO,rastrigin,9,0.0,0.4754304885864258,10020,True
PSO,rastrigin,10,0.9949590570932898,0.4805145263671875,10020,False
PSO,rastrigin,11,0.9949590570932898,0.4255216121673584,10020,False
PSO,rastrigin,12,0.0,0.39385008811950684,10020,True
PSO,rastrigin,13,0.0,0.40703487396240234,10020,True
PSO,rastrigin,14,0.9949590570932898,0.4278590679168701,10020,False
PSO,rastrigin,15,0.0,0.41746973991394043,10020,True
PSO,rastrigin,16,0.0,0.4526231288909912,10020,True
PSO,rastrigin,17,0.0,0.4463629722595215,10020,True
PSO,rastrigin,18,0.9949590570932898,0.4566183090209961,10020,False
PSO,rastrigin,19,0.0,0.44755029678344727,10020,True
PSO,rastrigin,20,0.0,0.4519388675689697,10020,True
PSO,rastrigin,21,0.0,0.4294571876525879,10020,True
PSO,rastrigin,22,0.0,0.4464225769042969,10020,True
PSO,rastrigin,23,0.0,0.4266014099121094,10020,True
PSO,rastrigin,24,0.0,0.4054088592529297,10020,True
PSO,rastrigin,25,0.9949590570932898,0.41693711280822754,10020,False
PSO,rastrigin,26,0.0,0.45566320419311523,10020,True
PSO,rastrigin,27,0.0,0.43251729011535645,10020,True
PSO,rastrigin,28,0.9949590570932898,0.45589780807495117,10020,False
PSO,rastrigin,29,0.0,0.4607808589935303,10020,True
SA,rosenbrock,0,1.4082228499682515e-05,0.4026970863342285,10000,True
SA,rosenbrock,1,1.4219225830538725e-05,0.39365458488464355,10000,True
SA,rosenbrock,2,1.428314636665761e-05,0.40996527671813965,10000,True
SA,rosenbrock,3,2.8305611533666467e-05,0.38643789291381836,10000,True
SA,rosenbrock,4,1.7126918687150914e-05,0.38738369941711426,10000,True
SA,rosenbrock,5,1.1517459765974988e-05,0.40099644660949707,10000,True
SA,rosenbrock,6,3.790019305156422e-05,0.3874092102050781,10000,True
SA,rosenbrock,7,1.4408863301792897e-07,0.36262965202331543,10000,True
SA,rosenbrock,8,6.694751025071986e-06,0.3913412094116211,10000,True
SA,rosenbrock,9,8.359677851359521e-06,0.40636706352233887,10000,True
SA,rosenbrock,10,3.2936296735571017e-06,0.4079859256744385,10000,True
SA,rosenbrock,11,1.1345315492354698e-05,0.38001441955566406,10000,True
SA,rosenbrock,12,5.35143947399794e-06,0.3976311683654785,10000,True
SA,rosenbrock,13,2.3607265058041305e-07,0.3567664623260498,10000,True
SA,rosenbrock,14,4.592657525172757e-06,0.4170408248901367,10000,True
SA,rosenbrock,15,1.0155154350199695e-05,0.4197814464569092,10000,True
SA,rosenbrock,16,1.096217024909723e-05,0.38570141792297363,10000,True
SA,rosenbrock,17,2.0273343534438344e-05,0.41216373443603516,10000,True
SA,rosenbrock,18,1.375441870904017e-06,0.39959263801574707,10000,True
SA,rosenbrock,19,9.060455548315012e-06,0.3835885524749756,10000,True
SA,rosenbrock,20,8.06909601437038e-06,0.40460753440856934,10000,True
SA,rosenbrock,21,1.641086036196513e-05,0.3983485698699951,10000,True
