scenario_id,algorithm,mean_area,std_area,mean_rel_volume_error,mean_evals,mean_time_s,feasibility_rate,engineering_feasibility_rate
S1,SA,7781.847185817263,4.693532529384343,0.0012463090573935946,10000.0,1.4224668264389038,0.5,0.5
S1,PSO,7950.104329953807,201.49940767127742,0.01571149635004379,10000.0,1.3185322046279908,0.2,0.1
S1,BFGS,7782.005334365089,3.2875725910412668e-09,0.0015365468447335834,3973.2,0.5212842941284179,0.0,0.0
S2,SA,7753.256122984077,9.269951477494917,5.492194878016885e-05,10000.0,1.1780340909957885,1.0,1.0
S2,PSO,9352.841177766162,524.7777111761842,0.06536113944353314,10000.0,1.1346873044967651,0.4,0.0
S2,BFGS,8295.442925477608,693.7063014292011,0.0001557763246634167,3550.2,0.3727925539016724,0.9,0.6
S3,SA,7753.022568014375,21.3638662663423,3.4244263629908376e-05,10000.0,2.0273218631744383,1.0,1.0
S3,PSO,8258.124930091844,351.80101968049456,2.5093627469465484e-05,10000.0,1.8163801193237306,0.9,0.2
S3,BFGS,7926.45332574013,300.64819311971155,0.00015416916544511156,2959.1,0.3936362981796265,1.0,0.7
S4,SA,7783.180357781175,14.883584238363783,0.0015574405542679492,10000.0,1.8587247848510742,0.2,0.2
S4,PSO,8269.552306188132,447.60417868585915,0.032718319814520266,10000.0,2.078105640411377,0.0,0.0
S4,BFGS,7779.854558497737,1.4237542170406436e-09,0.0008915050505638192,5001.0,0.8332619190216064,1.0,1.0
S5,SA,7757.254174778342,6.614994006264163,3.901724988926398e-05,10000.0,1.474023699760437,1.0,1.0
S5,PSO,7796.769708271499,32.300235259014585,0.00011277177455625274,10000.0,1.1962016105651856,0.9,0.2
S5,BFGS,7742.564311626853,1.7161149934655027e-08,2.3305173894356424e-06,3657.4,0.6989223003387451,1.0,1.0
S6,SA,7825.773240318206,33.167613203391646,6.568544375606074e-05,10000.0,1.514685583114624,1.0,0.3
S6,PSO,7913.675228282259,146.68274870882632,0.0005922582621182232,10000.0,1.7270392894744873,0.9,0.1
S6,BFGS,7741.717219150009,1.335901904997905e-10,2.0706662253691362e-06,2120.5,0.3118408679962158,1.0,1.0
S7,SA,8160.135657042226,281.399417211857,0.0001305299205006692,16000.0,3.2231744289398194,1.0,0.0
S7,PSO,8608.624968912962,174.5645914753557,0.00041444265692645724,16000.0,2.835703158378601,0.7,0.0
S7,BFGS,7849.9823311774035,171.4950198491167,6.37391484763925e-05,7000.8,3.148881697654724,1.0,0.6
S8,SA,7701.984257430993,32.238953465604475,0.0010933357307790072,16000.0,3.1637470006942747,0.0,0.0
S8,PSO,7968.672248536884,348.76873252402646,0.020865535592785745,16000.0,8.062527561187744,0.0,0.0
S8,BFGS,7813.482795864869,0.505549748673741,0.00042039091566495096,7001.0,3.5489118099212646,0.0,0.0
