scenario_id,best_tradeoff_algorithm,best_tradeoff_feasibility_rate,best_tradeoff_mean_area,fastest_algorithm,fastest_mean_evals
S1,SA,0.5,7781.847185817263,BFGS,3973.2
S2,SA,1.0,7753.256122984077,BFGS,3550.2
S3,SA,1.0,7753.022568014375,BFGS,2959.1
S4,BFGS,1.0,7779.854558497737,BFGS,5001.0
S5,BFGS,1.0,7742.564311626853,BFGS,3657.4
S6,BFGS,1.0,7741.717219150009,BFGS,2120.5
S7,BFGS,1.0,7849.9823311774035,BFGS,7000.8
S8,SA,0.0,7701.984257430993,BFGS,7001.0
