algorithm,total_runs,mean_area,mean_rel_volume_error,mean_evals,mean_time_s,overall_feasibility_rate,overall_engineering_feasibility_rate
SA,80,7814.556695520831,0.0005276855211245777,11500.0,1.98277228474617,0.7125,0.5
PSO,80,8264.795612250444,0.016975132190244168,11500.0,2.521147111058235,0.5,0.075
BFGS,80,7866.437850237463,0.00040331607914525987,4407.9,1.228691467642784,0.7375,0.6125
