algorithm,total_runs,mean_area,mean_rel_volume_error,mean_rel_height_error,mean_evals,mean_time_s,overall_feasibility_rate
SA,3,7728.6217661714145,0.0006848672497889312,0.001748857832209104,12000.0,0.6087362766265869,0.3333333333333333
PSO,3,8689.556071328947,0.23649559825568378,0.1055569775733146,12000.0,0.6475382645924886,0.0
BFGS,3,7778.973875340048,0.0006525403334096138,0.0008946679138147765,4839.0,0.25826144218444824,0.3333333333333333
