Problem,Algorithm,Run,Best_Val,Evals,Time
rastrigin,BFGS,0,8.95460124148701,144,0.014336109161376953
rastrigin,BFGS,1,24.672038000843475,10001,0.1370553970336914
rastrigin,BFGS,2,16.914202849554822,111,0.001497030258178711
rastrigin,BFGS,3,31.838487584923065,133,0.0019216537475585938
rastrigin,BFGS,4,25.868681991635512,115,0.0017850399017333984
rastrigin,BFGS,5,33.828324176029234,84,0.0011467933654785156
rastrigin,BFGS,6,33.82832417602924,111,0.0014958381652832031
rastrigin,BFGS,7,12.934432432041103,120,0.0016794204711914062
rastrigin,BFGS,8,16.914202849554826,111,0.0014917850494384766
rastrigin,BFGS,9,16.914202849554826,108,0.0017693042755126953
rastrigin,BFGS,10,19.89907498301562,111,0.0022094249725341797
rastrigin,BFGS,11,39.79782312335081,115,0.002204418182373047
rastrigin,BFGS,12,24.873722934542222,109,0.002941131591796875
rastrigin,BFGS,13,16.914202849554826,110,0.0025174617767333984
rastrigin,BFGS,14,4.97479024764738,114,0.005646705627441406
rastrigin,BFGS,15,9.949560298580305,108,0.0018091201782226562
rastrigin,BFGS,16,3.979831190554087,236,0.005063295364379883
rastrigin,BFGS,17,9.949560298580302,136,0.002012968063354492
rastrigin,BFGS,18,44.77259317428374,110,0.0023458003997802734
rastrigin,BFGS,19,4.97479024764738,104,0.0022318363189697266
rastrigin,PSO,0,0.0,10020,0.24493408203125
rastrigin,PSO,1,0.0,10020,0.21309828758239746
rastrigin,PSO,2,0.0,10020,0.21941781044006348
rastrigin,PSO,3,0.0,10020,0.2132565975189209
rastrigin,PSO,4,0.0,10020,0.27625036239624023
rastrigin,PSO,5,0.0,10020,0.2193453311920166
rastrigin,PSO,6,0.0,10020,0.2057631015777588
rastrigin,PSO,7,0.9949590570932898,10020,0.19848108291625977
rastrigin,PSO,8,0.0,10020,0.20576262474060059
rastrigin,PSO,9,0.0,10020,0.20677781105041504
rastrigin,PSO,10,0.9949590570932898,10020,0.21481919288635254
rastrigin,PSO,11,0.9949590570932898,10020,0.21478986740112305
rastrigin,PSO,12,0.0,10020,0.20421266555786133
rastrigin,PSO,13,0.0,10020,0.23093008995056152
rastrigin,PSO,14,0.9949590570932898,10020,0.28737545013427734
rastrigin,PSO,15,0.0,10020,0.28423523902893066
rastrigin,PSO,16,0.0,10020,0.2836287021636963
rastrigin,PSO,17,0.0,10020,0.2840425968170166
rastrigin,PSO,18,0.9949590570932898,10020,0.28272318840026855
rastrigin,PSO,19,0.0,10020,0.26738500595092773
rastrigin,SA,0,4.974827118744315,10000,0.2589554786682129
rastrigin,SA,1,4.9753067232748425,10000,0.2405710220336914
rastrigin,SA,2,25.868709433870045,10000,0.2291412353515625
rastrigin,SA,3,4.974869793529848,10000,0.22990679740905762
rastrigin,SA,4,24.873791119290203,10000,0.23066973686218262
rastrigin,SA,5,24.8742422643614,10000,0.34773778915405273
rastrigin,SA,6,16.91433120798571,10000,0.24334287643432617
rastrigin,SA,7,33.82838309587298,10000,0.2279224395751953
rastrigin,SA,8,40.79297935671511,10000,0.2673454284667969
rastrigin,SA,9,24.873768849728826,10000,0.2668285369873047
rastrigin,SA,10,33.82869320459616,10000,0.31578874588012695
rastrigin,SA,11,33.82843534743814,10000,0.2644639015197754
rastrigin,SA,12,19.89942688565324,10000,0.25106287002563477
rastrigin,SA,13,12.934451542408294,10000,0.23902034759521484
rastrigin,SA,14,3.9800478727786057,10000,0.24096155166625977
rastrigin,SA,15,24.87394241131129,10000,0.266033411026001
rastrigin,SA,16,9.670444832161012,10000,0.25208044052124023
rastrigin,SA,17,4.975089647578539,10000,0.24156880378723145
rastrigin,SA,18,3.981056739598092,10000,0.24439048767089844
rastrigin,SA,19,28.853635191969516,10000,0.25474023818969727
rosenbrock,BFGS,0,1.5599137152461466e-17,340,0.010977745056152344
rosenbrock,BFGS,1,1.6923294338213823,10001,0.27562451362609863
rosenbrock,BFGS,2,8.367287528182373e-18,180,0.011154413223266602
rosenbrock,BFGS,3,1.1156858327045482e-16,90,0.0025484561920166016
rosenbrock,BFGS,4,4.0740150396848804e-16,195,0.011861085891723633
rosenbrock,BFGS,5,5.1608737354109193e-17,161,0.00874638557434082
rosenbrock,BFGS,6,4.319108520857512e-16,223,0.0075054168701171875
rosenbrock,BFGS,7,1.6104095634799435e-17,320,0.011139392852783203
rosenbrock,BFGS,8,6.677570385900091e-19,304,0.012185096740722656
rosenbrock,BFGS,9,2.1644610502931295e-16,133,0.003629922866821289
rosenbrock,BFGS,10,1.396920306931273e-16,271,0.010355472564697266
rosenbrock,BFGS,11,3.909284239392203e-15,252,0.007733583450317383
rosenbrock,BFGS,12,1.885625381983725e-15,180,0.006421566009521484
rosenbrock,BFGS,13,1.818127151144073e-17,165,0.004739522933959961
rosenbrock,BFGS,14,4.266435269857098e-16,237,0.007259845733642578
rosenbrock,BFGS,15,6.664191674745942e-17,307,0.009170293807983398
rosenbrock,BFGS,16,1.0988119024520095e-15,177,0.005365133285522461
rosenbrock,BFGS,17,2.805902223714509e-16,254,0.0070531368255615234
rosenbrock,BFGS,18,9.1823630859895e-16,177,0.0045926570892333984
rosenbrock,BFGS,19,3.964678163240079e-16,137,0.003247499465942383
rosenbrock,PSO,0,0.0,10020,0.5268590450286865
rosenbrock,PSO,1,0.0,10020,0.48790407180786133
rosenbrock,PSO,2,0.0,10020,0.4036142826080322
rosenbrock,PSO,3,0.0,10020,0.3619840145111084
rosenbrock,PSO,4,0.0,10020,0.3152005672454834
rosenbrock,PSO,5,0.0,10020,0.31684303283691406
