node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,7.435123079967973e-31,-4.759818308117971e-31,1.0149666088347294e-31,0.0,39.29999923706055,-4.759818308117971e-31,1.0149666088347294e-31
2,38.8161506652832,0.0,6.147873878479004,7.512519508817074e-31,-4.763349963345582e-31,1.3471084445186796e-32,0.0,38.8161506652832,-4.763349963345582e-31,6.147873878479004
3,37.376522064208984,0.0,12.144368171691895,7.40781352501193e-31,-4.7646049211145195e-31,1.2814237891477678e-31,0.0,37.376522064208984,-4.7646049211145195e-31,12.144368171691895
4,35.01655578613281,0.0,17.841827392578125,7.1273001359000635e-31,-4.765404727470819e-31,2.3971066364115157e-31,0.0,35.01655578613281,-4.765404727470819e-31,17.841827392578125
5,31.794368743896484,0.0,23.099960327148438,6.681691386401649e-31,-4.767810259110342e-31,3.4565401981974558e-31,0.0,31.794368743896484,-4.767810259110342e-31,23.099960327148438
6,27.789297103881836,0.0,27.789297103881836,6.083684026098788e-31,-4.773286181994212e-31,4.437533021953025e-31,0.0,27.789297103881836,-4.773286181994212e-31,27.789297103881836
7,23.099960327148438,0.0,31.794368743896484,5.346291247652824e-31,-4.7820624228174515e-31,5.319750936199958e-31,0.0,23.099960327148438,-4.7820624228174515e-31,31.794368743896484
8,17.841827392578125,0.0,35.01655578613281,4.482820587510544e-31,-4.792994520280099e-31,6.083197841635288e-31,0.0,17.841827392578125,-4.792994520280099e-31,35.01655578613281
9,12.144368171691895,0.0,37.376522064208984,3.508450028729768e-31,-4.803958120991348e-31,6.707487845029314e-31,0.0,12.144368171691895,-4.803958120991348e-31,37.376522064208984
10,6.147873878479004,0.0,38.8161506652832,2.4419439876326705e-31,-4.812344567887855e-31,7.172328152304922e-31,0.0,6.147873878479004,-4.812344567887855e-31,38.8161506652832
11,0.0,0.0,39.29999923706055,1.3068660713275303e-31,-4.815124376928679e-31,7.458260570374079e-31,0.0,1.3068660713275303e-31,-4.815124376928679e-31,39.29999923706055
12,-6.147873878479004,0.0,38.8161506652832,1.3247445175574917e-32,-4.808517158281577e-31,7.547396896403712e-31,0.0,-6.147873878479004,-4.808517158281577e-31,38.8161506652832
13,-12.144368171691895,0.0,37.376522064208984,-1.0462734323307443e-31,-4.789206137086269e-31,7.426902142676063e-31,0.0,-12.144368171691895,-4.789206137086269e-31,37.376522064208984
14,-17.841827392578125,0.0,35.01655578613281,-2.1951618791153903e-31,-4.761256643005637e-31,7.101204161311809e-31,0.0,-17.841827392578125,-4.761256643005637e-31,35.01655578613281
15,-23.099960327148438,0.0,31.794368743896484,-3.2891806005923536e-31,-4.739268315876896e-31,6.6013073211104985e-31,0.0,-23.099960327148438,-4.739268315876896e-31,31.794368743896484
16,-27.789297103881836,0.0,27.789297103881836,-4.30382195014021e-31,-4.732938513896588e-31,5.9628211075404615e-31,0.0,-27.789297103881836,-4.732938513896588e-31,27.789297103881836
17,-31.794368743896484,0.0,23.099960327148438,-5.204515344197888e-31,-4.736921088757174e-31,5.197648106200384e-31,0.0,-31.794368743896484,-4.736921088757174e-31,23.099960327148438
18,-35.01655578613281,0.0,17.841827392578125,-5.962862955139351e-31,-4.740025804436566e-31,4.311803086584553e-31,0.0,-35.01655578613281,-4.740025804436566e-31,17.841827392578125
19,-37.376522064208984,0.0,12.144368171691895,-6.5660476627609735e-31,-4.740924822516075e-31,3.3247120332357887e-31,0.0,-37.376522064208984,-4.740924822516075e-31,12.144368171691895
20,-38.8161506652832,0.0,6.147873878479004,-7.00684205759616e-31,-4.741924462912014e-31,2.2605219511086813e-31,0.0,-38.8161506652832,-4.741924462912014e-31,6.147873878479004
21,-39.29999923706055,0.0,0.0,-7.27685358017778e-31,-4.743264996669692e-31,1.1416566879889522e-31,0.0,-39.29999923706055,-4.743264996669692e-31,1.1416566879889522e-31
22,-38.8161506652832,0.0,-6.147873878479004,-7.367392506066814e-31,-4.7438880086756275e-31,-8.352720310542506e-34,0.0,-38.8161506652832,-4.7438880086756275e-31,-6.147873878479004
23,-37.376522064208984,0.0,-12.144368171691895,-7.269797792886404e-31,-4.741481536640624e-31,-1.1630788970383376e-31,0.0,-37.376522064208984,-4.741481536640624e-31,-12.144368171691895
