node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,7.053612626826677e-31,-4.778037530160236e-31,1.6171798879248325e-31,0.0,39.29999923706055,-4.778037530160236e-31,1.6171798879248325e-31
2,38.8161506652832,0.0,6.147873878479004,7.231206783546649e-31,-4.782535911941963e-31,-5.198175315416728e-32,0.0,38.8161506652832,-4.782535911941963e-31,6.147873878479004
3,37.376522064208984,0.0,12.144368171691895,7.2343326581243555e-31,-4.784794741886503e-31,5.904251278664695e-32,0.0,37.376522064208984,-4.784794741886503e-31,12.144368171691895
4,35.01655578613281,0.0,17.841827392578125,7.06758361228507e-31,-4.787121750503391e-31,1.686653484849391e-31,0.0,35.01655578613281,-4.787121750503391e-31,17.841827392578125
5,31.794368743896484,0.0,23.099960327148438,6.739522887275664e-31,-4.7920362572853084e-31,2.7450614278142387e-31,0.0,31.794368743896484,-4.7920362572853084e-31,23.099960327148438
6,27.789297103881836,0.0,27.789297103881836,6.2597740202474475e-31,-4.8012126363855675e-31,3.7447481382309344e-31,0.0,27.789297103881836,-4.8012126363855675e-31,27.789297103881836
7,23.099960327148438,0.0,31.794368743896484,5.63712688775813e-31,-4.814593993877588e-31,4.665769356097382e-31,0.0,23.099960327148438,-4.814593993877588e-31,31.794368743896484
8,17.841827392578125,0.0,35.01655578613281,4.879907751393457e-31,-4.830127446427094e-31,5.48676752455349e-31,0.0,17.841827392578125,-4.830127446427094e-31,35.01655578613281
9,12.144368171691895,0.0,37.376522064208984,3.998790570056633e-31,-4.844413934569248e-31,6.184045852981034e-31,0.0,12.144368171691895,-4.844413934569248e-31,37.376522064208984
10,6.147873878479004,0.0,38.8161506652832,3.0099607254641323e-31,-4.853879015082069e-31,6.733175687978964e-31,0.0,6.147873878479004,-4.853879015082069e-31,38.8161506652832
11,0.0,0.0,39.29999923706055,1.9364998720403948e-31,-4.855472045026303e-31,7.111678286175376e-31,0.0,1.9364998720403948e-31,-4.855472045026303e-31,39.29999923706055
12,-6.147873878479004,0.0,38.8161506652832,8.075364071504918e-32,-4.845371257168558e-31,7.298885635696372e-31,0.0,-6.147873878479004,-4.845371257168558e-31,38.8161506652832
13,-12.144368171691895,0.0,37.376522064208984,-3.409499324040967e-32,-4.819450196139705e-31,7.27826887537617e-31,0.0,-12.144368171691895,-4.819450196139705e-31,37.376522064208984
14,-17.841827392578125,0.0,35.01655578613281,-1.4726677862694877e-31,-4.7831946589761635e-31,7.054764611290483e-31,0.0,-17.841827392578125,-4.7831946589761635e-31,35.01655578613281
15,-23.099960327148438,0.0,31.794368743896484,-2.565332808452044e-31,-4.755892156986225e-31,6.663318879896037e-31,0.0,-23.099960327148438,-4.755892156986225e-31,31.794368743896484
16,-27.789297103881836,0.0,27.789297103881836,-3.599494652288526e-31,-4.749629123085044e-31,6.137760998016276e-31,0.0,-27.789297103881836,-4.749629123085044e-31,27.789297103881836
17,-31.794368743896484,0.0,23.099960327148438,-4.539564521011178e-31,-4.7565194007718235e-31,5.4833971471508126e-31,0.0,-31.794368743896484,-4.7565194007718235e-31,23.099960327148438
18,-35.01655578613281,0.0,17.841827392578125,-5.353940424492494e-31,-4.762456117441216e-31,4.701587139164677e-31,0.0,-35.01655578613281,-4.762456117441216e-31,17.841827392578125
19,-37.376522064208984,0.0,12.144368171691895,-6.029077141327949e-31,-4.7660686466801634e-31,3.8084604022432427e-31,0.0,-37.376522064208984,-4.7660686466801634e-31,12.144368171691895
20,-38.8161506652832,0.0,6.147873878479004,-6.555714597219505e-31,-4.76949497761394e-31,2.8250056231193116e-31,0.0,-38.8161506652832,-4.76949497761394e-31,6.147873878479004
21,-39.29999923706055,0.0,0.0,-6.9210243872177685e-31,-4.771730297671464e-31,1.7717873701639093e-31,0.0,-39.29999923706055,-4.771730297671464e-31,1.7717873701639093e-31
22,-38.8161506652832,0.0,-6.147873878479004,-7.113602335328802e-31,-4.771535165609227e-31,6.718476248671366e-32,0.0,-38.8161506652832,-4.771535165609227e-31,-6.147873878479004
23,-37.376522064208984,0.0,-12.144368171691895,-7.123490123610178e-31,-4.767268591313483e-31,-4.4943748153583644e-32,0.0,-37.376522064208984,-4.767268591313483e-31,-12.144368171691895
24,-35.01655578613281,0.0,-17.841827392578125,-6.938026267310322e-31,-4.75359806221116e-31,-1.561073777658955e-31,0.0,-35.01655578613281,-4.75359806221116e-31,-17.841827392578125
25,-31.794368743896484,0.0,-23.099960327148438,-6.552700159506257e-31,-4.727764457962009e-31,-2.627535267520156e-31,0.0,-31.794368743896484,-4.727764457962009e-31,-23.099960327148438
26,-27.789297103881836,0.0,-27.789297103881836,-5.990716999078695e-31,-4.702493680408031e-31,-3.6269795910017123e-31,0.0,-27.789297103881836,-4.702493680408031e-31,-27.789297103881836
27,-23.099960327148438,0.0,-31.794368743896484,-5.291280463023042e-31,-4.694176352579353e-31,-4.549261879207722e-31,0.0,-23.099960327148438,-4.694176352579353e-31,-31.794368743896484
28,-17.841827392578125,0.0,-35.01655578613281,-4.47568110502139e-31,-4.702518600888269e-31,-5.365179090881836e-31,0.0,-17.841827392578125,-4.702518600888269e-31,-35.01655578613281
29,-12.144368171691895,0.0,-37.376522064208984,-3.553519422535775e-31,-4.712017535638393e-31,-6.03499646068095e-31,0.0,-12.144368171691895,-4.712017535638393e-31,-37.376522064208984
30,-6.147873878479004,0.0,-38.8161506652832,-2.544608372849307e-31,-4.715462204284043e-31,-6.536970164301293e-31,0.0,-6.147873878479004,-4.715462204284043e-31,-38.8161506652832
31,-0.0,0.0,-39.29999923706055,-1.4770650755370437e-31,-4.714895145809206e-31,-6.865924735215065e-31,0.0,-1.4770650755370437e-31,-4.714895145809206e-31,-39.29999923706055
32,6.147873878479004,0.0,-38.8161506652832,-3.7883567452071747e-32,-4.712630673491782e-31,-7.020759910709896e-31,0.0,6.147873878479004,-4.712630673491782e-31,-38.8161506652832
33,12.144368171691895,0.0,-37.376522064208984,7.24054973019642e-32,-4.710287678151723e-31,-7.003095051803479e-31,0.0,12.144368171691895,-4.710287678151723e-31,-37.376522064208984
34,17.841827392578125,0.0,-35.01655578613281,1.8081304816565872e-31,-4.709746950750345e-31,-6.817721003272025e-31,0.0,17.841827392578125,-4.709746950750345e-31,-35.01655578613281
35,23.099960327148438,0.0,-31.794368743896484,2.8518520333011314e-31,-4.7127411699607596e-31,-6.471348897463249e-31,0.0,23.099960327148438,-4.7127411699607596e-31,-31.794368743896484
36,27.789297103881836,0.0,-27.789297103881836,3.834123794910395e-31,-4.720114340726857e-31,-5.971607222516248e-31,0.0,27.789297103881836,-4.720114340726857e-31,-27.789297103881836
