element_label,centroid_x,centroid_y,centroid_z,mises_pa_avg,mises_pa_max
1,34.210612773895264,1.7999999523162842,6.8049139976501465,1810953.1875,2134433.25
2,29.002357482910156,1.7999999523162842,19.378755569458008,1811694.5,2132806.75
3,19.378755569458008,1.7999999523162842,29.002357482910156,1815234.8125,2132480.75
4,6.8049139976501465,1.7999999523162842,34.210612773895264,1823485.8125,2136738.75
5,-6.8049139976501465,1.7999999523162842,34.210612773895264,1832448.0,2141406.0
6,-19.378755569458008,1.7999999523162842,29.002357482910156,1838555.5,2141565.0
7,-29.002357482910156,1.7999999523162842,19.378755569458008,1841374.0,2144739.75
8,-34.210612773895264,1.7999999523162842,6.8049139976501465,1841653.625,2145027.25
9,-34.210612773895264,1.7999999523162842,-6.8049139976501465,1841653.625,2145027.25
10,-29.002357482910156,1.7999999523162842,-19.378755569458008,1841374.0,2144739.75
11,-19.378755569458008,1.7999999523162842,-29.002357482910156,1838555.5,2141565.0
12,-6.8049139976501465,1.7999999523162842,-34.210612773895264,1832448.0,2141406.0
13,6.8049139976501465,1.7999999523162842,-34.210612773895264,1823485.8125,2136738.75
14,19.378755569458008,1.7999999523162842,-29.002357482910156,1815234.8125,2132480.75
15,29.002357482910156,1.7999999523162842,-19.378755569458008,1811694.5,2132806.75
16,34.210612773895264,1.7999999523162842,-6.8049139976501465,1810953.1875,2134433.25
17,28.23039150238037,5.450000047683716,5.615373849868774,3678531.25,3720704.0
18,23.932570457458496,5.450000047683716,15.99123215675354,3688828.625,3725501.75
19,15.99123215675354,5.450000047683716,23.932570457458496,3711215.125,3737238.75
20,5.615373849868774,5.450000047683716,28.23039150238037,3745364.0,3759352.5
21,-5.615373849868774,5.450000047683716,28.23039150238037,3787585.125,3788186.75
22,-15.99123215675354,5.450000047683716,23.932570457458496,3820884.125,3828202.0
23,-23.932570457458496,5.450000047683716,15.99123215675354,3831547.5,3844428.0
24,-28.23039150238037,5.450000047683716,5.615373849868774,3829141.0,3842783.25
