element_label,centroid_x,centroid_y,centroid_z,mises_pa_avg,mises_pa_max
1,37.84355545043945,0.7604165077209473,2.978352189064026,1262483.78125,2161468.75
2,36.91172122955322,0.7604165077209473,8.861720204353333,1262043.609375,2162420.25
3,35.070998191833496,0.7604165077209473,14.526883602142334,1261455.015625,2164539.75
4,32.366711139678955,0.7604165077209473,19.834346294403076,1261216.125,2168218.5
5,28.865448474884033,0.7604165077209473,24.653421878814697,1261869.4375,2173918.75
6,24.653421878814697,0.7604165077209473,28.865448474884033,1263819.953125,2182000.25
7,19.834346294403076,0.7604165077209473,32.366711139678955,1267184.0625,2192531.25
8,14.526883602142334,0.7604165077209473,35.070998191833496,1271755.703125,2205166.75
9,8.861720204353333,0.7604165077209473,36.91172122955322,1277074.890625,2219183.75
10,2.978352189064026,0.7604165077209473,37.84355545043945,1282571.734375,2233600.0
11,-2.978352189064026,0.7604165077209473,37.84355545043945,1287591.546875,2247288.25
12,-8.861720204353333,0.7604165077209473,36.91172122955322,1291445.0,2259137.75
13,-14.526883602142334,0.7604165077209473,35.070998191833496,1293893.0625,2268733.75
14,-19.834346294403076,0.7604165077209473,32.366711139678955,1296092.328125,2275995.0
15,-24.653421878814697,0.7604165077209473,28.865448474884033,1297939.921875,2280220.5
16,-28.865448474884033,0.7604165077209473,24.653421878814697,1298459.203125,2281516.25
17,-32.366711139678955,0.7604165077209473,19.834346294403076,1299003.125,2281461.0
18,-35.070998191833496,0.7604165077209473,14.526883602142334,1299569.5,2281115.0
19,-36.91172122955322,0.7604165077209473,8.861720204353333,1299566.234375,2280493.25
20,-37.84355545043945,0.7604165077209473,2.978352189064026,1299434.46875,2279956.5
21,-37.84355545043945,0.7604165077209473,-2.978352189064026,1299434.46875,2279956.5
22,-36.91172122955322,0.7604165077209473,-8.861720204353333,1299566.234375,2280493.25
23,-35.070998191833496,0.7604165077209473,-14.526883602142334,1299569.5,2281115.0
24,-32.366711139678955,0.7604165077209473,-19.834346294403076,1299003.125,2281461.0
25,-28.865448474884033,0.7604165077209473,-24.653421878814697,1298459.203125,2281516.25
26,-24.653421878814697,0.7604165077209473,-28.865448474884033,1297939.921875,2280220.5
27,-19.834346294403076,0.7604165077209473,-32.366711139678955,1296092.328125,2275995.0
28,-14.526883602142334,0.7604165077209473,-35.070998191833496,1293893.0625,2268733.75
29,-8.861720204353333,0.7604165077209473,-36.91172122955322,1291445.0,2259137.75
30,-2.978352189064026,0.7604165077209473,-37.84355545043945,1287591.546875,2247288.25
31,2.978352189064026,0.7604165077209473,-37.84355545043945,1282571.734375,2233600.0
32,8.861720204353333,0.7604165077209473,-36.91172122955322,1277074.890625,2219183.75
33,14.526883602142334,0.7604165077209473,-35.070998191833496,1271755.703125,2205166.75
34,19.834346294403076,0.7604165077209473,-32.366711139678955,1267184.0625,2192531.25
35,24.653421878814697,0.7604165077209473,-28.865448474884033,1263819.953125,2182000.25
36,28.865448474884033,0.7604165077209473,-24.653421878814697,1261869.4375,2173918.75
37,32.366711139678955,0.7604165077209473,-19.834346294403076,1261216.125,2168218.5
38,35.070998191833496,0.7604165077209473,-14.526883602142334,1261455.015625,2164539.75
39,36.91172122955322,0.7604165077209473,-8.861720204353333,1262043.609375,2162420.25
40,37.84355545043945,0.7604165077209473,-2.978352189064026,1262483.78125,2161468.75
41,35.41451454162598,2.28125,2.7871826887130737,1362418.25,1825248.5
42,34.54249095916748,2.28125,8.2929185628891,1363034.875,1826068.5
43,32.81991767883301,2.28125,13.594455480575562,1364482.84375,1827954.75
44,30.28920888900757,2.28125,18.561251401901245,1367125.09375,1831341.75
45,27.01267910003662,2.28125,23.07100772857666,1371351.84375,1836703.75
46,23.07100772857666,2.28125,27.01267910003662,1377412.40625,1844359.25
47,18.561251401901245,2.28125,30.28920888900757,1385290.84375,1854298.25
48,13.594455480575562,2.28125,32.81991767883301,1394657.8125,1866087.75
49,8.2929185628891,2.28125,34.54249095916748,1404945.46875,1878981.375
50,2.7871826887130737,2.28125,35.41451454162598,1415460.0625,1892052.125
51,-2.7871826887130737,2.28125,35.41451454162598,1425474.5,1904255.25
52,-8.2929185628891,2.28125,34.54249095916748,1434195.125,1914172.625
53,-13.594455480575562,2.28125,32.81991767883301,1441084.53125,1921448.875
54,-18.561251401901245,2.28125,30.28920888900757,1445885.5,1928366.125
55,-23.07100772857666,2.28125,27.01267910003662,1449406.78125,1933301.5
56,-27.01267910003662,2.28125,23.07100772857666,1452533.9375,1934191.25
57,-30.28920888900757,2.28125,18.561251401901245,1454594.9375,1935347.5
58,-32.81991767883301,2.28125,13.594455480575562,1455568.625,1937176.375
59,-34.54249095916748,2.28125,8.2929185628891,1455950.21875,1937504.375
60,-35.41451454162598,2.28125,2.7871826887130737,1456022.59375,1937370.25
61,-35.41451454162598,2.28125,-2.7871826887130737,1456022.59375,1937370.25
62,-34.54249095916748,2.28125,-8.2929185628891,1455950.21875,1937504.375
63,-32.81991767883301,2.28125,-13.594455480575562,1455568.625,1937176.375
64,-30.28920888900757,2.28125,-18.561251401901245,1454594.9375,1935347.5
65,-27.01267910003662,2.28125,-23.07100772857666,1452533.9375,1934191.25
66,-23.07100772857666,2.28125,-27.01267910003662,1449406.78125,1933301.5
67,-18.561251401901245,2.28125,-30.28920888900757,1445885.5,1928366.125
68,-13.594455480575562,2.28125,-32.81991767883301,1441084.53125,1921448.875
69,-8.2929185628891,2.28125,-34.54249095916748,1434195.125,1914172.625
70,-2.7871826887130737,2.28125,-35.41451454162598,1425474.5,1904255.25
71,2.7871826887130737,2.28125,-35.41451454162598,1415460.0625,1892052.125
72,8.2929185628891,2.28125,-34.54249095916748,1404945.46875,1878981.375
73,13.594455480575562,2.28125,-32.81991767883301,1394657.8125,1866087.75
74,18.561251401901245,2.28125,-30.28920888900757,1385290.84375,1854298.25
75,23.07100772857666,2.28125,-27.01267910003662,1377412.40625,1844359.25
76,27.01267910003662,2.28125,-23.07100772857666,1371351.84375,1836703.75
77,30.28920888900757,2.28125,-18.561251401901245,1367125.09375,1831341.75
78,32.81991767883301,2.28125,-13.594455480575562,1364482.84375,1827954.75
79,34.54249095916748,2.28125,-8.2929185628891,1363034.875,1826068.5
80,35.41451454162598,2.28125,-2.7871826887130737,1362418.25,1825248.5
81,33.068302631378174,3.8020834922790527,2.602531909942627,1605444.4375,1790843.0
82,32.25405168533325,3.8020834922790527,7.743512868881226,1607218.0,1792517.75
83,30.645599365234375,3.8020834922790527,12.693823099136353,1610885.125,1795979.875
84,28.282549381256104,3.8020834922790527,17.331568717956543,1616655.4375,1801452.375
85,25.22308921813965,3.8020834922790527,21.542553424835205,1624756.875,1809204.0
86,21.542553424835205,3.8020834922790527,25.22308921813965,1635326.25,1819456.125
87,17.331568717956543,3.8020834922790527,28.282549381256104,1648288.0,1832220.25
88,12.693823099136353,3.8020834922790527,30.645599365234375,1663299.25,1847185.125
