element_label,centroid_x,centroid_y,centroid_z,mises_pa_avg,mises_pa_max
1,36.33853244781494,0.7499495148658752,7.2281835079193115,1593734.703125,2726324.5
2,30.806320667266846,0.7499495148658752,20.58412480354309,1599851.875,2734427.25
3,20.58412480354309,0.7499495148658752,30.806320667266846,1608572.09375,2741776.25
4,7.2281835079193115,0.7499495148658752,36.33853244781494,1621389.515625,2748595.75
5,-7.2281835079193115,0.7499495148658752,36.33853244781494,1642808.5625,2770012.25
6,-20.58412480354309,0.7499495148658752,30.806320667266846,1665635.53125,2796906.25
7,-30.806320667266846,0.7499495148658752,20.58412480354309,1677195.34375,2809319.5
8,-36.33853244781494,0.7499495148658752,7.2281835079193115,1678947.375,2807877.75
9,-36.33853244781494,0.7499495148658752,-7.2281835079193115,1678947.375,2807877.75
10,-30.806320667266846,0.7499495148658752,-20.58412480354309,1677195.34375,2809319.5
11,-20.58412480354309,0.7499495148658752,-30.806320667266846,1665635.53125,2796906.25
12,-7.2281835079193115,0.7499495148658752,-36.33853244781494,1642808.5625,2770012.25
13,7.2281835079193115,0.7499495148658752,-36.33853244781494,1621389.515625,2748595.75
14,20.58412480354309,0.7499495148658752,-30.806320667266846,1608572.09375,2741776.25
15,30.806320667266846,0.7499495148658752,-20.58412480354309,1599851.875,2734427.25
16,36.33853244781494,0.7499495148658752,-7.2281835079193115,1593734.703125,2726324.5
17,33.48907947540283,2.2498640418052673,6.6613922119140625,1932956.8125,2232807.0
18,28.390670776367188,2.2498640418052673,18.97003936767578,1942388.875,2247510.25
19,18.97003936767578,2.2498640418052673,28.390670776367188,1957997.5,2271765.5
20,6.6613922119140625,2.2498640418052673,33.48907947540283,1980447.125,2303400.5
21,-6.6613922119140625,2.2498640418052673,33.48907947540283,2015151.625,2346823.25
22,-18.97003936767578,2.2498640418052673,28.390670776367188,2047952.5625,2387862.25
23,-28.390670776367188,2.2498640418052673,18.97003936767578,2058185.25,2399343.75
24,-33.48907947540283,2.2498640418052673,6.6613922119140625,2053566.375,2395337.5
25,-33.48907947540283,2.2498640418052673,-6.6613922119140625,2053566.375,2395337.5
26,-28.390670776367188,2.2498640418052673,-18.97003936767578,2058185.25,2399343.75
27,-18.97003936767578,2.2498640418052673,-28.390670776367188,2047952.5625,2387862.25
28,-6.6613922119140625,2.2498640418052673,-33.48907947540283,2015151.625,2346823.25
29,6.6613922119140625,2.2498640418052673,-33.48907947540283,1980447.125,2303400.5
30,18.97003936767578,2.2498640418052673,-28.390670776367188,1957997.5,2271765.5
31,28.390670776367188,2.2498640418052673,-18.97003936767578,1942388.875,2247510.25
32,33.48907947540283,2.2498640418052673,-6.6613922119140625,1932956.8125,2232807.0
33,30.87779426574707,3.7498074769973755,6.141975164413452,3310921.0,3390613.5
34,26.17693042755127,3.7498074769973755,17.490865468978882,3321224.125,3400780.25
35,17.490865468978882,3.7498074769973755,26.17693042755127,3336699.125,3416009.0
36,6.141975164413452,3.7498074769973755,30.87779426574707,3354219.75,3432819.75
37,-6.141975164413452,3.7498074769973755,30.87779426574707,3377597.25,3450536.5
38,-17.490865468978882,3.7498074769973755,26.17693042755127,3405343.5,3474744.75
39,-26.17693042755127,3.7498074769973755,17.490865468978882,3430023.25,3501425.5
40,-30.87779426574707,3.7498074769973755,6.141975164413452,3442930.0,3520278.25
41,-30.87779426574707,3.7498074769973755,-6.141975164413452,3442930.0,3520278.25
42,-26.17693042755127,3.7498074769973755,-17.490865468978882,3430023.25,3501425.5
43,-17.490865468978882,3.7498074769973755,-26.17693042755127,3405343.5,3474744.75
44,-6.141975164413452,3.7498074769973755,-30.87779426574707,3377597.25,3450536.5
45,6.141975164413452,3.7498074769973755,-30.87779426574707,3354219.75,3432819.75
46,17.490865468978882,3.7498074769973755,-26.17693042755127,3336699.125,3416009.0
47,26.17693042755127,3.7498074769973755,-17.490865468978882,3321224.125,3400780.25
48,30.87779426574707,3.7498074769973755,-6.141975164413452,3310921.0,3390613.5
49,28.646162509918213,5.249774932861328,5.698076009750366,4734529.0,4816641.0
50,24.285044193267822,5.249774932861328,16.226747751235962,4729967.0,4813144.0
51,16.226747751235962,5.249774932861328,24.285044193267822,4714169.0,4798810.5
52,5.698076009750366,5.249774932861328,28.646162509918213,4680858.0,4766444.0
53,-5.698076009750366,5.249774932861328,28.646162509918213,4641959.0,4734295.0
54,-16.226747751235962,5.249774932861328,24.285044193267822,4632486.25,4730872.5
55,-24.285044193267822,5.249774932861328,16.226747751235962,4669272.25,4764840.5
56,-28.646162509918213,5.249774932861328,5.698076009750366,4712971.5,4802453.5
57,-28.646162509918213,5.249774932861328,-5.698076009750366,4712971.5,4802453.5
58,-24.285044193267822,5.249774932861328,-16.226747751235962,4669272.25,4764840.5
59,-16.226747751235962,5.249774932861328,-24.285044193267822,4632486.25,4730872.5
60,-5.698076009750366,5.249774932861328,-28.646162509918213,4641959.0,4734295.0
61,5.698076009750366,5.249774932861328,-28.646162509918213,4680858.0,4766444.0
62,16.226747751235962,5.249774932861328,-24.285044193267822,4714169.0,4798810.5
63,24.285044193267822,5.249774932861328,-16.226747751235962,4729967.0,4813144.0
64,28.646162509918213,5.249774932861328,-5.698076009750366,4734529.0,4816641.0
65,26.922149658203125,7.080004930496216,5.355148553848267,4666627.0,4910483.5
66,22.823496341705322,7.080004930496216,15.250172853469849,4650990.5,4893689.0
67,15.250172853469849,7.080004930496216,22.823496341705322,4615988.5,4856033.0
68,5.355148553848267,7.080004930496216,26.922149658203125,4550457.5,4784436.5
69,-5.355148553848267,7.080004930496216,26.922149658203125,4465095.75,4695511.0
70,-15.250172853469849,7.080004930496216,22.823496341705322,4423442.125,4653622.5
71,-22.823496341705322,7.080004930496216,15.250172853469849,4466453.0,4695832.5
72,-26.922149658203125,7.080004930496216,5.355148553848267,4534276.25,4764140.0
