node_label,x,y,z,ux,uy,uz,umag,scale_factor,scaled_x,scaled_y,scaled_z
1,39.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,3.0138361213719174,39.29999923706055,0.0,0.0
2,36.308467864990234,0.0,15.039459228515625,0.0,0.0,0.0,0.0,3.0138361213719174,36.308467864990234,0.0,15.039459228515625
3,27.789297103881836,0.0,27.789297103881836,0.0,0.0,0.0,0.0,3.0138361213719174,27.789297103881836,0.0,27.789297103881836
4,15.039459228515625,0.0,36.308467864990234,0.0,0.0,0.0,0.0,3.0138361213719174,15.039459228515625,0.0,36.308467864990234
5,0.0,0.0,39.29999923706055,0.0,0.0,0.0,0.0,3.0138361213719174,0.0,0.0,39.29999923706055
6,-15.039459228515625,0.0,36.308467864990234,0.0,0.0,0.0,0.0,3.0138361213719174,-15.039459228515625,0.0,36.308467864990234
7,-27.789297103881836,0.0,27.789297103881836,0.0,0.0,0.0,0.0,3.0138361213719174,-27.789297103881836,0.0,27.789297103881836
8,-36.308467864990234,0.0,15.039459228515625,0.0,0.0,0.0,0.0,3.0138361213719174,-36.308467864990234,0.0,15.039459228515625
9,-39.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,3.0138361213719174,-39.29999923706055,0.0,0.0
10,-36.308467864990234,0.0,-15.039459228515625,0.0,0.0,0.0,0.0,3.0138361213719174,-36.308467864990234,0.0,-15.039459228515625
11,-27.789297103881836,0.0,-27.789297103881836,0.0,0.0,0.0,0.0,3.0138361213719174,-27.789297103881836,0.0,-27.789297103881836
12,-15.039459228515625,0.0,-36.308467864990234,0.0,0.0,0.0,0.0,3.0138361213719174,-15.039459228515625,0.0,-36.308467864990234
13,-0.0,0.0,-39.29999923706055,0.0,0.0,0.0,0.0,3.0138361213719174,0.0,0.0,-39.29999923706055
14,15.039459228515625,0.0,-36.308467864990234,0.0,0.0,0.0,0.0,3.0138361213719174,15.039459228515625,0.0,-36.308467864990234
15,27.789297103881836,0.0,-27.789297103881836,0.0,0.0,0.0,0.0,3.0138361213719174,27.789297103881836,0.0,-27.789297103881836
16,36.308467864990234,0.0,-15.039459228515625,0.0,0.0,0.0,0.0,3.0138361213719174,36.308467864990234,0.0,-15.039459228515625
17,34.939998626708984,2.0,0.0,-8.260402453198756e-13,-2.781814925981174e-12,0.0066359033808112144,0.0066359033808112144,3.0138361213719174,34.9399986267065,1.999999999991616,0.019999525307022863
18,32.28034973144531,2.0,13.370959281921387,0.08659365773200989,0.13022302091121674,0.028727388009428978,0.1590023934841156,3.0138361213719174,32.54132882499976,2.392470844256396,13.45753892157687
19,24.706310272216797,2.0,24.706310272216797,-0.07945432513952255,-0.15769267082214355,-0.07070125639438629,0.19020682573318481,3.0138361213719174,24.466847957112076,1.5247401326006123,24.493228271869018
20,13.370959281921387,2.0,32.28034973144531,0.010458262637257576,0.04150515794754028,0.012887650169432163,0.04470061510801315,3.0138361213719174,13.402478771624349,2.1250897442455434,32.31919099704555
21,0.0,2.0,34.939998626708984,-0.0017835574690252542,0.170575350522995,0.14307381212711334,0.22264152765274048,3.0138361213719174,-0.005375349924690986,2.5140861528218785,35.371199649720054
22,-13.370959281921387,2.0,32.28034973144531,0.10634367913007736,-0.3609899580478668,-0.26250016689300537,0.4588344693183899,3.0138361213719174,-13.050456860479574,0.912035424982806,31.489217246597015
23,-24.706310272216797,2.0,24.706310272216797,-0.21896487474441528,0.4094710350036621,0.22770653665065765,0.5171676874160767,3.0138361213719174,-25.366234521033192,3.2340785959495815,25.392580457447046
24,-32.28034973144531,2.0,13.370959281921387,0.18768079578876495,-0.2698480486869812,-0.08764443546533585,0.34018170833587646,3.0138361213719174,-31.714710569809306,1.186722203585448,13.106813316478707
