node_label,x,y,z,ux,uy,uz,umag,scale_factor,scaled_x,scaled_y,scaled_z
1,39.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,3.17335822890416,39.29999923706055,0.0,0.0
2,37.96088409423828,10.171587944030762,0.0,0.0,0.0,0.0,0.0,3.17335822890416,37.96088409423828,10.171587944030762,0.0
3,34.03479766845703,19.649999618530273,0.0,0.0,0.0,0.0,0.0,3.17335822890416,34.03479766845703,19.649999618530273,0.0
4,27.789297103881836,27.789297103881836,0.0,0.0,0.0,0.0,0.0,3.17335822890416,27.789297103881836,27.789297103881836,0.0
5,19.649999618530273,34.03479766845703,0.0,0.0,0.0,0.0,0.0,3.17335822890416,19.649999618530273,34.03479766845703,0.0
6,10.171587944030762,37.96088409423828,0.0,0.0,0.0,0.0,0.0,3.17335822890416,10.171587944030762,37.96088409423828,0.0
7,0.0,39.29999923706055,0.0,0.0,0.0,0.0,0.0,3.17335822890416,0.0,39.29999923706055,0.0
8,-10.171587944030762,37.96088409423828,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-10.171587944030762,37.96088409423828,0.0
9,-19.649999618530273,34.03479766845703,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-19.649999618530273,34.03479766845703,0.0
10,-27.789297103881836,27.789297103881836,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-27.789297103881836,27.789297103881836,0.0
11,-34.03479766845703,19.649999618530273,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-34.03479766845703,19.649999618530273,0.0
12,-37.96088409423828,10.171587944030762,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-37.96088409423828,10.171587944030762,0.0
13,-39.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-39.29999923706055,0.0,0.0
14,-37.96088409423828,-10.171587944030762,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-37.96088409423828,-10.171587944030762,0.0
15,-34.03479766845703,-19.649999618530273,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-34.03479766845703,-19.649999618530273,0.0
16,-27.789297103881836,-27.789297103881836,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-27.789297103881836,-27.789297103881836,0.0
17,-19.649999618530273,-34.03479766845703,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-19.649999618530273,-34.03479766845703,0.0
18,-10.171587944030762,-37.96088409423828,0.0,0.0,0.0,0.0,0.0,3.17335822890416,-10.171587944030762,-37.96088409423828,0.0
19,-0.0,-39.29999923706055,0.0,0.0,0.0,0.0,0.0,3.17335822890416,0.0,-39.29999923706055,0.0
20,10.171587944030762,-37.96088409423828,0.0,0.0,0.0,0.0,0.0,3.17335822890416,10.171587944030762,-37.96088409423828,0.0
21,19.649999618530273,-34.03479766845703,0.0,0.0,0.0,0.0,0.0,3.17335822890416,19.649999618530273,-34.03479766845703,0.0
22,27.789297103881836,-27.789297103881836,0.0,0.0,0.0,0.0,0.0,3.17335822890416,27.789297103881836,-27.789297103881836,0.0
23,34.03479766845703,-19.649999618530273,0.0,0.0,0.0,0.0,0.0,3.17335822890416,34.03479766845703,-19.649999618530273,0.0
24,37.96088409423828,-10.171587944030762,0.0,0.0,0.0,0.0,0.0,3.17335822890416,37.96088409423828,-10.171587944030762,0.0
25,36.36062240600586,0.0,1.338165044784546,-4.993310209755464e-10,-0.012329679913818836,-7.979244487366088e-10,0.012329679913818836,3.17335822890416,36.360622404421306,-0.039126491214271336,1.3381650422524458
26,35.121665954589844,9.410821914672852,1.338165044784546,0.18907618522644043,0.0596654936671257,0.3165017366409302,0.3734743893146515,3.17335822890416,35.721672422867975,9.600161899983053,2.3425384352164986
27,31.48922348022461,18.18031120300293,1.338165044784546,-0.2375510334968567,-0.13727055490016937,-0.4391338527202606,0.5177955627441406,3.17335822890416,30.73538895329267,17.744702558024237,-0.055363980335680685
28,25.71084213256836,25.71084213256836,1.338165044784546,0.13532930612564087,0.12363176047801971,0.2932809293270111,0.34585046768188477,3.17335822890416,26.140290499774054,26.10316999703519,2.268850495245076
29,18.18031120300293,31.48922348022461,1.338165044784546,-0.0033372340258210897,0.017748313024640083,0.022339744493365288,0.02872636169195175,3.17335822890416,18.169720963945313,31.54554523541052,1.409057056804183
30,9.410821914672852,35.121665954589844,1.338165044784546,-0.04092492163181305,-0.18568509817123413,-0.3042060136795044,0.35874098539352417,3.17335822890416,9.280952477845279,34.53242062032328,0.37281038799255917
31,0.0,36.36062240600586,1.338165044784546,-0.0004077696648892015,0.2438817173242569,0.38961413502693176,0.4596494734287262,3.17335822890416,-0.0012939992215736393,37.13454646055607,2.574550266269636
32,-9.410821914672852,35.121665954589844,1.338165044784546,0.03309741988778114,-0.15356241166591644,-0.250536173582077,0.2957113981246948,3.17335822890416,-9.305791944916464,34.63435741187944,0.5431240167097008
33,-18.18031120300293,31.48922348022461,1.338165044784546,0.015132738277316093,-0.004031824413686991,-0.017475206404924393,0.023465681821107864,3.17335822890416,-18.132289603464756,31.47642905704394,1.2827099547376803
34,-25.71084213256836,25.71084213256836,1.338165044784546,-0.12110666930675507,0.11011910438537598,0.26126256585121155,0.30830368399620056,3.17335822890416,-26.095156978188125,26.06028949862925,2.167244758033103
35,-31.48922348022461,18.18031120300293,1.338165044784546,0.18931443989276886,-0.10922316461801529,-0.34943878650665283,0.41216152906417847,3.17335822890416,-30.88846094454051,17.833706974775396,0.22927059612537515
36,-35.121665954589844,9.410821914672852,1.338165044784546,-0.14357882738113403,0.04617363587021828,0.24080288410186768,0.2841353714466095,3.17335822890416,-35.57729300795617,9.557347402020033,2.1023188585930623
37,-36.36062240600586,0.0,1.338165044784546,-3.8716541084227174e-10,-0.010504467412829399,6.188048407018698e-10,0.010504467412829399,3.17335822890416,-36.36062240723447,-0.033334438104757766,1.3381650467482353
38,-35.121665954589844,-9.410821914672852,1.338165044784546,0.14357882738113403,0.04617363587021828,-0.24080288410186768,0.2841353714466095,3.17335822890416,-34.666038901223516,-9.26429642732567,0.5740112309760294
39,-31.48922348022461,-18.18031120300293,1.338165044784546,-0.18931443989276886,-0.10922316461801529,0.34943878650665283,0.41216152906417847,3.17335822890416,-32.08998601590871,-18.526915431230464,2.4470594934437164
40,-25.71084213256836,-25.71084213256836,1.338165044784546,0.12110666930675507,0.11011910438537598,-0.26126256585121155,0.30830368399620056,3.17335822890416,-25.326527286948593,-25.36139476650747,0.5090853315359888
41,-18.18031120300293,-31.48922348022461,1.338165044784546,-0.015132737345993519,-0.004031823482364416,0.017475204542279243,0.023465678095817566,3.17335822890416,-18.228332799585683,-31.50201790044986,1.3936201289205712
42,-9.410821914672852,-35.121665954589844,1.338165044784546,-0.03309741988778114,-0.15356241166591644,0.250536173582077,0.2957113981246948,3.17335822890416,-9.515851884429239,-35.608974497300245,2.133206072859391
43,-0.0,-36.36062240600586,1.338165044784546,0.00040776972309686244,0.2438817173242569,-0.38961413502693176,0.4596494734287262,3.17335822890416,0.001293999406287399,-35.58669835145565,0.10177982329945556
44,9.410821914672852,-35.121665954589844,1.338165044784546,0.04092492163181305,-0.18568509817123413,0.3042060136795044,0.35874098539352417,3.17335822890416,9.540691351500424,-35.71091128885641,2.3035197015765325
45,18.18031120300293,-31.48922348022461,1.338165044784546,0.003337234491482377,0.017748313024640083,-0.022339744493365288,0.02872636169195175,3.17335822890416,18.19090144353826,-31.4329017250387,1.2672730327649089
46,25.71084213256836,-25.71084213256836,1.338165044784546,-0.13532930612564087,0.12363176047801971,-0.2932809293270111,0.34585046768188477,3.17335822890416,25.281393765362665,-25.318514268101527,0.4074795943240158
47,31.48922348022461,-18.18031120300293,1.338165044784546,0.2375510334968567,-0.13727055490016937,0.4391338527202606,0.5177955627441406,3.17335822890416,32.24305800715655,-18.615919847981623,2.7316940699047727
48,35.121665954589844,-9.410821914672852,1.338165044784546,-0.18907618522644043,0.0596654936671257,-0.3165017366409302,0.3734743893146515,3.17335822890416,34.52165948631171,-9.22148192936265,0.33379165435259295
49,33.42124557495117,0.0,2.676331043243408,-1.0343407241819591e-09,0.05079317092895508,-1.8189102446442007e-09,0.05079317092895508,3.17335822890416,33.42124557166884,0.16118492693953515,2.6763310374713543
50,32.28244400024414,8.650054931640625,2.676331043243408,0.4065054655075073,0.07250510901212692,0.7234206795692444,0.8329712748527527,3.17335822890416,33.5724314643069,8.880139615961852,4.97200400971391
51,28.943647384643555,16.710622787475586,2.676331043243408,-0.49110114574432373,-0.28558313846588135,-1.0,1.1501034498214722,3.17335822890416,27.385207522571545,15.804365184988605,-0.49702718566075177
52,23.632389068603516,23.632389068603516,2.676331043243408,0.24017806351184845,0.291909396648407,0.6626819372177124,0.7629180550575256,3.17335822890416,24.394560102851106,24.558722154552186,4.779258221859386
53,16.710622787475586,28.943647384643555,2.676331043243408,0.05765369534492493,0.004557165317237377,0.05800611525774002,0.08191108703613281,3.17335822890416,16.893578616025138,28.958108902703486,2.8604052264233206
54,8.650054931640625,32.28244400024414,2.676331043243408,-0.131185382604599,-0.37453916668891907,-0.6964340209960938,0.8015668988227844,3.17335822890416,8.23375671824038,31.093897053584953,0.4662964118266415
55,0.0,33.42124557495117,2.676331043243408,-0.003789593931287527,0.5028672814369202,0.8836262822151184,1.0167031288146973,3.17335822890416,-0.01202573908605654,35.017023600545684,5.480393777186744
56,-8.650054931640625,32.28244400024414,2.676331043243408,0.11392098665237427,-0.30022066831588745,-0.5612054467201233,0.6465771198272705,3.17335822890416,-8.288542831202433,31.32973627195681,0.8954251207882697
57,-16.710622787475586,28.943647384643555,2.676331043243408,-0.0219022948294878,-0.04378771036863327,-0.04687082767486572,0.06777867674827576,3.17335822890416,-16.780126615004626,28.80469329362038,2.527593116545824
58,-23.632389068603516,23.632389068603516,2.676331043243408,-0.22017443180084229,0.2578248679637909,0.5934659838676453,0.6834854483604431,3.17335822890416,-24.331081413553015,24.45055973497254,4.559611206724504
59,-28.943647384643555,16.710622787475586,2.676331043243408,0.3892902433872223,-0.2231483906507492,-0.7883790731430054,0.9071293473243713,3.17335822890416,-27.708289987358608,16.00249300573731,0.17452182398921767
60,-32.28244400024414,8.650054931640625,2.676331043243408,-0.30532607436180115,0.053054407238960266,0.54239422082901,0.6246841549873352,3.17335822890416,-33.251353010819166,8.818415571432013,4.397542207221207
