element_label,centroid_x,centroid_y,centroid_z,mises_pa_avg,mises_pa_max
1,34.17198848724365,1.8250000476837158,6.797230958938599,1807693.0625,2122405.5
2,28.969613552093506,1.8250000476837158,19.356876611709595,1808404.125,2120789.25
3,19.356876611709595,1.8250000476837158,28.969613552093506,1811874.4375,2120454.75
4,6.797230958938599,1.8250000476837158,34.17198848724365,1820045.3125,2124690.5
5,-6.797230958938599,1.8250000476837158,34.17198848724365,1828946.1875,2129362.5
6,-19.356876611709595,1.8250000476837158,28.969613552093506,1835007.6875,2129531.5
7,-28.969613552093506,1.8250000476837158,19.356876611709595,1837800.5,2132700.75
8,-34.17198848724365,1.8250000476837158,6.797230958938599,1838051.875,2132960.75
9,-34.17198848724365,1.8250000476837158,-6.797230958938599,1838051.875,2132960.75
10,-28.969613552093506,1.8250000476837158,-19.356876611709595,1837800.5,2132700.75
11,-19.356876611709595,1.8250000476837158,-28.969613552093506,1835007.6875,2129531.5
12,-6.797230958938599,1.8250000476837158,-34.17198848724365,1828946.1875,2129362.5
13,6.797230958938599,1.8250000476837158,-34.17198848724365,1820045.3125,2124690.5
14,19.356876611709595,1.8250000476837158,-28.969613552093506,1811874.4375,2120454.75
15,28.969613552093506,1.8250000476837158,-19.356876611709595,1808404.125,2120789.25
16,34.17198848724365,1.8250000476837158,-6.797230958938599,1807693.0625,2122405.5
17,28.191506385803223,5.4750001430511475,5.607638835906982,3692415.625,3731886.0
18,23.89960527420044,5.4750001430511475,15.969205379486084,3702753.0,3736702.25
19,15.969205379486084,5.4750001430511475,23.89960527420044,3725212.625,3748461.75
20,5.607638835906982,5.4750001430511475,28.191506385803223,3759504.375,3770648.5
21,-5.607638835906982,5.4750001430511475,28.191506385803223,3801987.5,3804298.25
22,-15.969205379486084,5.4750001430511475,23.89960527420044,3835515.125,3845779.5
23,-23.89960527420044,5.4750001430511475,15.969205379486084,3846189.25,3862044.5
24,-28.191506385803223,5.4750001430511475,5.607638835906982,3843681.625,3860304.5
25,-28.191506385803223,5.4750001430511475,-5.607638835906982,3843681.625,3860304.5
26,-23.89960527420044,5.4750001430511475,-15.969205379486084,3846189.25,3862044.5
27,-15.969205379486084,5.4750001430511475,-23.89960527420044,3835515.125,3845779.5
28,-5.607638835906982,5.4750001430511475,-28.191506385803223,3801987.5,3804298.25
29,5.607638835906982,5.4750001430511475,-28.191506385803223,3759504.375,3770648.5
30,15.969205379486084,5.4750001430511475,-23.89960527420044,3725212.625,3748461.75
31,23.89960527420044,5.4750001430511475,-15.969205379486084,3702753.0,3736702.25
32,28.191506385803223,5.4750001430511475,-5.607638835906982,3692415.625,3731886.0
33,24.25891399383545,9.125,4.825397729873657,2287911.875,2543638.0
34,20.565714359283447,9.125,13.741570711135864,2293001.625,2543418.0
35,13.741570711135864,9.125,20.565714359283447,2303981.125,2542798.75
36,4.825397729873657,9.125,24.25891399383545,2321498.9375,2547351.5
37,-4.825397729873657,9.125,24.25891399383545,2343577.625,2557014.0
38,-13.741570711135864,9.125,20.565714359283447,2362412.75,2564136.5
39,-20.565714359283447,9.125,13.741570711135864,2368365.625,2568555.25
40,-24.25891399383545,9.125,4.825397729873657,2367614.625,2565714.0
41,-24.25891399383545,9.125,-4.825397729873657,2367614.625,2565714.0
42,-20.565714359283447,9.125,-13.741570711135864,2368365.625,2568555.25
43,-13.741570711135864,9.125,-20.565714359283447,2362412.75,2564136.5
44,-4.825397729873657,9.125,-24.25891399383545,2343577.625,2557014.0
45,4.825397729873657,9.125,-24.25891399383545,2321498.9375,2547351.5
46,13.741570711135864,9.125,-20.565714359283447,2303981.125,2542798.75
47,20.565714359283447,9.125,-13.741570711135864,2293001.625,2543418.0
48,24.25891399383545,9.125,-4.825397729873657,2287911.875,2543638.0
49,21.64479160308838,12.775000095367432,4.305416822433472,805389.515625,1098286.0
50,18.349568367004395,12.775000095367432,12.260789632797241,802139.546875,1094167.0
51,12.260789632797241,12.775000095367432,18.349568367004395,793700.59375,1084470.5
52,4.305416822433472,12.775000095367432,21.64479160308838,782461.703125,1071399.125
53,-4.305416822433472,12.775000095367432,21.64479160308838,773880.71875,1058846.0
54,-12.260789632797241,12.775000095367432,18.349568367004395,770095.046875,1051920.0
55,-18.349568367004395,12.775000095367432,12.260789632797241,771043.078125,1053026.25
56,-21.64479160308838,12.775000095367432,4.305416822433472,771548.234375,1056031.5
57,-21.64479160308838,12.775000095367432,-4.305416822433472,771548.234375,1056031.5
58,-18.349568367004395,12.775000095367432,-12.260789632797241,771043.078125,1053026.25
59,-12.260789632797241,12.775000095367432,-18.349568367004395,770095.046875,1051920.0
60,-4.305416822433472,12.775000095367432,-21.64479160308838,773880.71875,1058846.0
61,4.305416822433472,12.775000095367432,-21.64479160308838,782461.703125,1071399.125
62,12.260789632797241,12.775000095367432,-18.349568367004395,793700.59375,1084470.5
63,18.349568367004395,12.775000095367432,-12.260789632797241,802139.546875,1094167.0
64,21.64479160308838,12.775000095367432,-4.305416822433472,805389.515625,1098286.0
65,20.03880262374878,16.425000190734863,3.9859657287597656,1023885.21875,1059896.0
66,16.98807668685913,16.425000190734863,11.351069927215576,1023970.09375,1059009.75
67,11.351069927215576,16.425000190734863,16.98807668685913,1022691.90625,1056382.25
68,3.9859657287597656,16.425000190734863,20.03880262374878,1019744.8125,1052563.875
69,-3.9859657287597656,16.425000190734863,20.03880262374878,1018460.3125,1046231.125
70,-11.351069927215576,16.425000190734863,16.98807668685913,1020660.875,1044182.875
71,-16.98807668685913,16.425000190734863,11.351069927215576,1024973.125,1049507.875
72,-20.03880262374878,16.425000190734863,3.9859657287597656,1028155.625,1056515.875
