element_label,centroid_x,centroid_y,centroid_z,mises_pa_avg,mises_pa_max
1,35.70720386505127,7.102604627609253,0.9219300150871277,2311671.875,3203712.5
2,30.271106243133545,20.22650647163391,0.9219300150871277,2307115.0,3204357.5
3,20.22650647163391,30.271106243133545,0.9219300150871277,2296602.125,3201840.5
4,7.102604627609253,35.70720386505127,0.9219300150871277,2279870.25,3192302.0
5,-7.102604627609253,35.70720386505127,0.9219300150871277,2260521.5625,3181551.75
6,-20.22650647163391,30.271106243133545,0.9219300150871277,2245370.8125,3176183.5
7,-30.271106243133545,20.22650647163391,0.9219300150871277,2239660.3125,3170828.75
8,-35.70720386505127,7.102604627609253,0.9219300150871277,2239629.375,3170352.0
9,-35.70720386505127,-7.102604627609253,0.9219300150871277,2239629.375,3170352.0
10,-30.271106243133545,-20.22650647163391,0.9219300150871277,2239660.3125,3170828.75
11,-20.22650647163391,-30.271106243133545,0.9219300150871277,2245370.8125,3176183.5
12,-7.102604627609253,-35.70720386505127,0.9219300150871277,2260521.5625,3181551.75
13,7.102604627609253,-35.70720386505127,0.9219300150871277,2279870.25,3192302.0
14,20.22650647163391,-30.271106243133545,0.9219300150871277,2296602.125,3201840.5
15,30.271106243133545,-20.22650647163391,0.9219300150871277,2307115.0,3204357.5
16,35.70720386505127,-7.102604627609253,0.9219300150871277,2311671.875,3203712.5
17,31.585291385650635,6.282705307006836,3.040233075618744,4254395.0,4444058.5
18,26.77671718597412,17.89163064956665,3.040233075618744,4242144.875,4438091.5
19,17.89163064956665,26.77671718597412,3.040233075618744,4215316.0,4422645.5
20,6.282705307006836,31.585291385650635,3.040233075618744,4175728.5,4394690.5
21,-6.282705307006836,31.585291385650635,3.040233075618744,4129977.375,4362392.5
22,-17.89163064956665,26.77671718597412,3.040233075618744,4094634.25,4336585.0
23,-26.77671718597412,17.89163064956665,3.040233075618744,4082137.25,4329111.0
24,-31.585291385650635,6.282705307006836,3.040233075618744,4082667.875,4330404.5
25,-31.585291385650635,-6.282705307006836,3.040233075618744,4082667.875,4330404.5
26,-26.77671718597412,-17.89163064956665,3.040233075618744,4082137.25,4329111.0
27,-17.89163064956665,-26.77671718597412,3.040233075618744,4094634.25,4336585.0
28,-6.282705307006836,-31.585291385650635,3.040233075618744,4129977.375,4362392.5
29,6.282705307006836,-31.585291385650635,3.040233075618744,4175728.5,4394690.5
30,17.89163064956665,-26.77671718597412,3.040233075618744,4215316.0,4422645.5
31,26.77671718597412,-17.89163064956665,3.040233075618744,4242144.875,4438091.5
32,31.585291385650635,-6.282705307006836,3.040233075618744,4254395.0,4444058.5
33,27.77120065689087,5.524035453796387,5.67578911781311,3089878.625,3164798.25
34,23.54328680038452,15.73112154006958,5.67578911781311,3082992.5,3159380.5
35,15.73112154006958,23.54328680038452,5.67578911781311,3068256.375,3147192.25
36,5.524035453796387,27.77120065689087,5.67578911781311,3045525.375,3126941.5
37,-5.524035453796387,27.77120065689087,5.67578911781311,3017659.375,3101043.75
38,-15.73112154006958,23.54328680038452,5.67578911781311,2995192.75,3083669.0
39,-23.54328680038452,15.73112154006958,5.67578911781311,2986855.125,3073849.0
40,-27.77120065689087,5.524035453796387,5.67578911781311,2987463.375,3075095.25
41,-27.77120065689087,-5.524035453796387,5.67578911781311,2987463.375,3075095.25
42,-23.54328680038452,-15.73112154006958,5.67578911781311,2986855.125,3073849.0
43,-15.73112154006958,-23.54328680038452,5.67578911781311,2995192.75,3083669.0
44,-5.524035453796387,-27.77120065689087,5.67578911781311,3017659.375,3101043.75
45,5.524035453796387,-27.77120065689087,5.67578911781311,3045525.375,3126941.5
46,15.73112154006958,-23.54328680038452,5.67578911781311,3068256.375,3147192.25
47,23.54328680038452,-15.73112154006958,5.67578911781311,3082992.5,3159380.5
48,27.77120065689087,-5.524035453796387,5.67578911781311,3089878.625,3164798.25
