node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,9.391585784821208e-31,-4.811990038791647e-31,6.965043359271881e-31,0.0,39.29999923706055,-4.811990038791647e-31,6.965043359271881e-31
2,38.8161506652832,0.0,6.147873878479004,1.0355523125941826e-30,-4.809016038084066e-31,-5.4109965692927066e-31,0.0,38.8161506652832,-4.809016038084066e-31,6.147873878479004
3,37.376522064208984,0.0,12.144368171691895,1.1073139857627296e-30,-4.810339644723092e-31,-3.736768177280942e-31,0.0,37.376522064208984,-4.810339644723092e-31,12.144368171691895
4,35.01655578613281,0.0,17.841827392578125,1.1538921500779042e-30,-4.818443032579921e-31,-1.9810241891159256e-31,0.0,35.01655578613281,-4.818443032579921e-31,17.841827392578125
5,31.794368743896484,0.0,23.099960327148438,1.1749929319520008e-30,-4.834482888095761e-31,-1.7851148312399447e-32,0.0,31.794368743896484,-4.834482888095761e-31,23.099960327148438
6,27.789297103881836,0.0,27.789297103881836,1.1702622724865515e-30,-4.857839490648859e-31,1.637966154530423e-31,0.0,27.789297103881836,-4.857839490648859e-31,27.789297103881836
7,23.099960327148438,0.0,31.794368743896484,1.1391743025287727e-30,-4.885900891791689e-31,3.434024074105195e-31,0.0,23.099960327148438,-4.885900891791689e-31,31.794368743896484
8,17.841827392578125,0.0,35.01655578613281,1.0812066323891589e-30,-4.914304126691738e-31,5.170168339662341e-31,0.0,17.841827392578125,-4.914304126691738e-31,35.01655578613281
9,12.144368171691895,0.0,37.376522064208984,9.962657867569327e-31,-4.937546000996196e-31,6.799977151145233e-31,0.0,12.144368171691895,-4.937546000996196e-31,37.376522064208984
10,6.147873878479004,0.0,38.8161506652832,8.852520062257278e-31,-4.950124730945475e-31,8.271632131482052e-31,0.0,6.147873878479004,-4.950124730945475e-31,38.8161506652832
11,0.0,0.0,39.29999923706055,7.5050950864972805e-31,-4.947928907498139e-31,9.533201821044432e-31,0.0,7.5050950864972805e-31,-4.947928907498139e-31,39.29999923706055
12,-6.147873878479004,0.0,38.8161506652832,5.959287101324149e-31,-4.929394182772114e-31,1.0540060692693234e-30,0.0,-6.147873878479004,-4.929394182772114e-31,38.8161506652832
13,-12.144368171691895,0.0,37.376522064208984,4.266990890942506e-31,-4.897255697022892e-31,1.126435987466426e-30,0.0,-12.144368171691895,-4.897255697022892e-31,37.376522064208984
14,-17.841827392578125,0.0,35.01655578613281,2.4802267823536403e-31,-4.857809397993478e-31,1.1695378858478008e-30,0.0,-17.841827392578125,-4.857809397993478e-31,35.01655578613281
