element_label,centroid_x,centroid_y,centroid_z,mises_pa_avg,mises_pa_max
1,37.97478485107422,0.5,2.9886802434921265,2593281.375,3996261.0
2,37.03972053527832,0.5,8.892449975013733,2595620.0,3997455.5
3,35.19261455535889,0.5,14.577258348464966,2600320.75,4000059.5
4,32.47894906997681,0.5,19.903125762939453,2607432.8125,4004447.0
5,28.965545177459717,0.5,24.73891258239746,2617027.9375,4011030.5
6,24.73891258239746,0.5,28.965545177459717,2629155.75,4020119.75
7,19.903125762939453,0.5,32.47894906997681,2643767.0,4031788.0
8,14.577258348464966,0.5,35.19261455535889,2660644.0,4045802.0
9,8.892449975013733,0.5,37.03972053527832,2679366.3125,4061643.75
10,2.9886802434921265,0.5,37.97478485107422,2699353.875,4078560.25
11,-2.9886802434921265,0.5,37.97478485107422,2719892.875,4095655.5
12,-8.892449975013733,0.5,37.03972053527832,2740037.375,4111808.5
13,-14.577258348464966,0.5,35.19261455535889,2759245.3125,4126008.25
14,-19.903125762939453,0.5,32.47894906997681,2776344.25,4137391.75
15,-24.73891258239746,0.5,28.965545177459717,2786720.375,4144674.5
16,-28.965545177459717,0.5,24.73891258239746,2788374.5625,4147653.5
17,-32.47894906997681,0.5,19.903125762939453,2786590.375,4148099.25
18,-35.19261455535889,0.5,14.577258348464966,2785217.1875,4147586.0
19,-37.03972053527832,0.5,8.892449975013733,2784077.25,4146744.0
20,-37.97478485107422,0.5,2.9886802434921265,2783355.875,4146175.0
21,-37.97478485107422,0.5,-2.9886802434921265,2783355.875,4146175.0
22,-37.03972053527832,0.5,-8.892449975013733,2784077.25,4146744.0
23,-35.19261455535889,0.5,-14.577258348464966,2785217.1875,4147586.0
24,-32.47894906997681,0.5,-19.903125762939453,2786590.375,4148099.25
25,-28.965545177459717,0.5,-24.73891258239746,2788374.5625,4147653.5
26,-24.73891258239746,0.5,-28.965545177459717,2786720.375,4144674.5
27,-19.903125762939453,0.5,-32.47894906997681,2776344.25,4137391.75
28,-14.577258348464966,0.5,-35.19261455535889,2759245.3125,4126008.25
29,-8.892449975013733,0.5,-37.03972053527832,2740037.375,4111808.5
30,-2.9886802434921265,0.5,-37.97478485107422,2719892.875,4095655.5
31,2.9886802434921265,0.5,-37.97478485107422,2699353.875,4078560.25
32,8.892449975013733,0.5,-37.03972053527832,2679366.3125,4061643.75
33,14.577258348464966,0.5,-35.19261455535889,2660644.0,4045802.0
34,19.903125762939453,0.5,-32.47894906997681,2643767.0,4031788.0
35,24.73891258239746,0.5,-28.965545177459717,2629155.75,4020119.75
36,28.965545177459717,0.5,-24.73891258239746,2617027.9375,4011030.5
37,32.47894906997681,0.5,-19.903125762939453,2607432.8125,4004447.0
38,35.19261455535889,0.5,-14.577258348464966,2600320.75,4000059.5
39,37.03972053527832,0.5,-8.892449975013733,2595620.0,3997455.5
40,37.97478485107422,0.5,-2.9886802434921265,2593281.375,3996261.0
41,35.808204650878906,1.5,2.818166732788086,1881354.375,2437735.75
42,34.92648887634277,1.5,8.38510799407959,1882120.9375,2438558.0
43,33.18476581573486,1.5,13.745579957962036,1883796.375,2440398.25
44,30.62592315673828,1.5,18.767589807510376,1886612.0625,2443563.5
45,27.31296968460083,1.5,23.32747983932495,1890780.25,2448352.25
46,23.32747983932495,1.5,27.31296968460083,1896399.75,2454904.75
47,18.767589807510376,1.5,30.62592315673828,1903404.4375,2463135.75
