node_label,x,y,z,ux,uy,uz,umag,deformed_x,deformed_y,deformed_z
1,39.29999923706055,0.0,0.0,7.114053725159517e-31,-4.7646147952670664e-31,9.709685018053441e-32,0.0,39.29999923706055,-4.7646147952670664e-31,9.709685018053441e-32
2,38.8161506652832,0.0,6.147873878479004,7.1890319270301065e-31,-4.768405529449598e-31,1.2699099101435398e-32,0.0,38.8161506652832,-4.768405529449598e-31,6.147873878479004
3,37.376522064208984,0.0,12.144368171691895,7.090460613143033e-31,-4.769950599224319e-31,1.222522588414505e-31,0.0,37.376522064208984,-4.769950599224319e-31,12.144368171691895
4,35.01655578613281,0.0,17.841827392578125,6.824335274885232e-31,-4.771145371682495e-31,2.288991013692376e-31,0.0,35.01655578613281,-4.771145371682495e-31,17.841827392578125
5,31.794368743896484,0.0,23.099960327148438,6.400754819323487e-31,-4.774120312785556e-31,3.3025520839318272e-31,0.0,31.794368743896484,-4.774120312785556e-31,23.099960327148438
6,27.789297103881836,0.0,27.789297103881836,5.831554123581877e-31,-4.780382876488997e-31,4.2422246355639015e-31,0.0,27.789297103881836,-4.780382876488997e-31,27.789297103881836
7,23.099960327148438,0.0,31.794368743896484,5.128649408993558e-31,-4.790121141888949e-31,5.0886233561503185e-31,0.0,23.099960327148438,-4.790121141888949e-31,31.794368743896484
8,17.841827392578125,0.0,35.01655578613281,4.3040937244341205e-31,-4.802019025510232e-31,5.8223114466002315e-31,0.0,17.841827392578125,-4.802019025510232e-31,35.01655578613281
9,12.144368171691895,0.0,37.376522064208984,3.3718298434975388e-31,-4.813669114922361e-31,6.423042192215078e-31,0.0,12.144368171691895,-4.813669114922361e-31,37.376522064208984
10,6.147873878479004,0.0,38.8161506652832,2.3496839029151623e-31,-4.8222238926099054e-31,6.870479540725631e-31,0.0,6.147873878479004,-4.8222238926099054e-31,38.8161506652832
11,0.0,0.0,39.29999923706055,1.2606383453882228e-31,-4.824585695859578e-31,7.145332689439418e-31,0.0,1.2606383453882228e-31,-4.824585695859578e-31,39.29999923706055
12,-6.147873878479004,0.0,38.8161506652832,1.3333428179233752e-32,-4.8168246119577085e-31,7.229843680297435e-31,0.0,-6.147873878479004,-4.8168246119577085e-31,38.8161506652832
13,-12.144368171691895,0.0,37.376522064208984,-9.978563481630303e-32,-4.795266985959108e-31,7.110921267813446e-31,0.0,-12.144368171691895,-4.795266985959108e-31,37.376522064208984
14,-17.841827392578125,0.0,35.01655578613281,-2.099484867418912e-31,-4.764572477470437e-31,6.793744209899433e-31,0.0,-17.841827392578125,-4.764572477470437e-31,35.01655578613281
15,-23.099960327148438,0.0,31.794368743896484,-3.148602760979776e-31,-4.741530907403359e-31,6.311422420836137e-31,0.0,-23.099960327148438,-4.741530907403359e-31,31.794368743896484
16,-27.789297103881836,0.0,27.789297103881836,-4.122833435932804e-31,-4.736862314039633e-31,5.69973982945355e-31,0.0,-27.789297103881836,-4.736862314039633e-31,27.789297103881836
17,-31.794368743896484,0.0,23.099960327148438,-4.9877391395785675e-31,-4.743272519833537e-31,4.967961212027112e-31,0.0,-31.794368743896484,-4.743272519833537e-31,23.099960327148438
18,-35.01655578613281,0.0,17.841827392578125,-5.714727852624274e-31,-4.747905378168998e-31,4.120095474490869e-31,0.0,-35.01655578613281,-4.747905378168998e-31,17.841827392578125
19,-37.376522064208984,0.0,12.144368171691895,-6.292084128171889e-31,-4.749629123085044e-31,3.174995195243308e-31,0.0,-37.376522064208984,-4.749629123085044e-31,12.144368171691895
20,-38.8161506652832,0.0,6.147873878479004,-6.713560448845662e-31,-4.751148802181787e-31,2.1561140726709054e-31,0.0,-38.8161506652832,-4.751148802181787e-31,6.147873878479004
21,-39.29999923706055,0.0,0.0,-6.9710153407717985e-31,-4.75262663367964e-31,1.0849516633513306e-31,0.0,-39.29999923706055,-4.75262663367964e-31,1.0849516633513306e-31
22,-38.8161506652832,0.0,-6.147873878479004,-7.056122542364553e-31,-4.753000911080942e-31,-1.5894408293735174e-33,0.0,-38.8161506652832,-4.753000911080942e-31,-6.147873878479004
23,-37.376522064208984,0.0,-12.144368171691895,-6.960626791896971e-31,-4.750010923650191e-31,-1.1211646476193725e-31,0.0,-37.376522064208984,-4.750010923650191e-31,-12.144368171691895
24,-35.01655578613281,0.0,-17.841827392578125,-6.675298107726397e-31,-4.738643423079999e-31,-2.200226378976473e-31,0.0,-35.01655578613281,-4.738643423079999e-31,-17.841827392578125
25,-31.794368743896484,0.0,-23.099960327148438,-6.197923269089101e-31,-4.716427050047198e-31,-3.220153221323367e-31,0.0,-31.794368743896484,-4.716427050047198e-31,-23.099960327148438
26,-27.789297103881836,0.0,-27.789297103881836,-5.551161105091535e-31,-4.69452994128008e-31,-4.160111182983821e-31,0.0,-27.789297103881836,-4.69452994128008e-31,-27.789297103881836
27,-23.099960327148438,0.0,-31.794368743896484,-4.776117712786473e-31,-4.687754391841941e-31,-5.00799996020934e-31,0.0,-23.099960327148438,-4.687754391841941e-31,-31.794368743896484
28,-17.841827392578125,0.0,-35.01655578613281,-3.8983607996009102e-31,-4.695939594105586e-31,-5.73602263808603e-31,0.0,-17.841827392578125,-4.695939594105586e-31,-35.01655578613281
29,-12.144368171691895,0.0,-37.376522064208984,-2.9297033784640003e-31,-4.705083529561763e-31,-6.309277378744756e-31,0.0,-12.144368171691895,-4.705083529561763e-31,-37.376522064208984
30,-6.147873878479004,0.0,-38.8161506652832,-1.8907709083541412e-31,-4.708447794393816e-31,-6.70961172822238e-31,0.0,-6.147873878479004,-4.708447794393816e-31,-38.8161506652832
31,-0.0,0.0,-39.29999923706055,-8.099117873599159e-32,-4.70783841812235e-31,-6.93429242705437e-31,0.0,-8.099117873599159e-32,-4.70783841812235e-31,-39.29999923706055
