element_label,centroid_x,centroid_y,centroid_z,mises_pa_avg,mises_pa_max
1,35.34510374069214,1.5208334922790527,7.030578374862671,1260267.375,1674714.375
2,29.96413230895996,1.5208334922790527,20.021393060684204,1257776.8125,1674665.875
3,20.021393060684204,1.5208334922790527,29.96413230895996,1257446.875,1678830.75
4,7.030578374862671,1.5208334922790527,35.34510374069214,1262905.625,1691268.25
5,-7.030578374862671,1.5208334922790527,35.34510374069214,1265398.65625,1701658.75
6,-20.021393060684204,1.5208334922790527,29.96413230895996,1263158.125,1703358.375
7,-29.96413230895996,1.5208334922790527,20.021393060684204,1263499.59375,1705815.0
8,-35.34510374069214,1.5208334922790527,7.030578374862671,1264054.25,1705200.375
9,-35.34510374069214,1.5208334922790527,-7.030578374862671,1264054.25,1705200.375
10,-29.96413230895996,1.5208334922790527,-20.021393060684204,1263499.59375,1705815.0
11,-20.021393060684204,1.5208334922790527,-29.96413230895996,1263158.125,1703358.375
12,-7.030578374862671,1.5208334922790527,-35.34510374069214,1265398.65625,1701658.75
13,7.030578374862671,1.5208334922790527,-35.34510374069214,1262905.625,1691268.25
14,20.021393060684204,1.5208334922790527,-29.96413230895996,1257446.875,1678830.75
15,29.96413230895996,1.5208334922790527,-20.021393060684204,1257776.8125,1674665.875
16,35.34510374069214,1.5208334922790527,-7.030578374862671,1260267.375,1674714.375
17,30.58092212677002,4.5625,6.082923889160156,1819802.375,2105449.0
18,25.925253868103027,4.5625,17.32270097732544,1834489.3125,2117206.5
19,17.32270097732544,4.5625,25.925253868103027,1863912.125,2142552.25
20,6.082923889160156,4.5625,30.58092212677002,1905867.8125,2179925.25
21,-6.082923889160156,4.5625,30.58092212677002,1953864.8125,2222835.5
22,-17.32270097732544,4.5625,25.925253868103027,1990274.625,2257418.0
23,-25.925253868103027,4.5625,17.32270097732544,2003089.5,2263798.5
24,-30.58092212677002,4.5625,6.082923889160156,2001523.875,2260159.75
25,-30.58092212677002,4.5625,-6.082923889160156,2001523.875,2260159.75
26,-25.925253868103027,4.5625,-17.32270097732544,2003089.5,2263798.5
27,-17.32270097732544,4.5625,-25.925253868103027,1990274.625,2257418.0
28,-6.082923889160156,4.5625,-30.58092212677002,1953864.8125,2222835.5
29,6.082923889160156,4.5625,-30.58092212677002,1905867.8125,2179925.25
30,17.32270097732544,4.5625,-25.925253868103027,1863912.125,2142552.25
31,25.925253868103027,4.5625,-17.32270097732544,1834489.3125,2117206.5
32,30.58092212677002,4.5625,-6.082923889160156,1819802.375,2105449.0
33,26.37620449066162,7.604166507720947,5.246553659439087,1762686.0625,1823309.0
34,22.360666275024414,7.604166507720947,14.940919637680054,1769197.4375,1830930.0
35,14.940919637680054,7.604166507720947,22.360666275024414,1783081.75,1845270.375
36,5.246553659439087,7.604166507720947,26.37620449066162,1806087.75,1871820.375
37,-5.246553659439087,7.604166507720947,26.37620449066162,1834203.4375,1901692.75
38,-14.940919637680054,7.604166507720947,22.360666275024414,1855283.0,1918602.5
39,-22.360666275024414,7.604166507720947,14.940919637680054,1861353.6875,1929352.5
40,-26.37620449066162,7.604166507720947,5.246553659439087,1858144.875,1926011.625
41,-26.37620449066162,7.604166507720947,-5.246553659439087,1858144.875,1926011.625
42,-22.360666275024414,7.604166507720947,-14.940919637680054,1861353.6875,1929352.5
43,-14.940919637680054,7.604166507720947,-22.360666275024414,1855283.0,1918602.5
44,-5.246553659439087,7.604166507720947,-26.37620449066162,1834203.4375,1901692.75
45,5.246553659439087,7.604166507720947,-26.37620449066162,1806087.75,1871820.375
46,14.940919637680054,7.604166507720947,-22.360666275024414,1783081.75,1845270.375
47,22.360666275024414,7.604166507720947,-14.940919637680054,1769197.4375,1830930.0
48,26.37620449066162,7.604166507720947,-5.246553659439087,1762686.0625,1823309.0
49,22.979981899261475,10.645833492279053,4.571002721786499,1359320.5,1419375.75
50,19.4814875125885,10.645833492279053,13.01711368560791,1355344.0,1414508.625
51,13.01711368560791,10.645833492279053,19.4814875125885,1348069.3125,1404572.875
52,4.571002721786499,10.645833492279053,22.979981899261475,1342715.8125,1400102.5
53,-4.571002721786499,10.645833492279053,22.979981899261475,1342224.8125,1398145.875
54,-13.01711368560791,10.645833492279053,19.4814875125885,1343105.9375,1393321.75
55,-19.4814875125885,10.645833492279053,13.01711368560791,1339957.875,1392953.0
56,-22.979981899261475,10.645833492279053,4.571002721786499,1334813.8125,1387204.25
57,-22.979981899261475,10.645833492279053,-4.571002721786499,1334813.8125,1387204.25
58,-19.4814875125885,10.645833492279053,-13.01711368560791,1339957.875,1392953.0
59,-13.01711368560791,10.645833492279053,-19.4814875125885,1343105.9375,1393321.75
60,-4.571002721786499,10.645833492279053,-22.979981899261475,1342224.8125,1398145.875
61,4.571002721786499,10.645833492279053,-22.979981899261475,1342715.8125,1400102.5
62,13.01711368560791,10.645833492279053,-19.4814875125885,1348069.3125,1404572.875
63,19.4814875125885,10.645833492279053,-13.01711368560791,1355344.0,1414508.625
64,22.979981899261475,10.645833492279053,-4.571002721786499,1359320.5,1419375.75
65,20.477184295654297,13.6875,4.07316517829895,1344844.875,1381556.5
66,17.359718561172485,13.6875,11.599392890930176,1340131.625,1376412.125
67,11.599392890930176,13.6875,17.359718561172485,1329111.8125,1364585.0
68,4.07316517829895,13.6875,20.477184295654297,1316829.125,1350128.75
69,-4.07316517829895,13.6875,20.477184295654297,1310279.875,1340386.5
70,-11.599392890930176,13.6875,17.359718561172485,1308872.1875,1337872.75
71,-17.359718561172485,13.6875,11.599392890930176,1307318.5625,1335837.5
72,-20.477184295654297,13.6875,4.07316517829895,1303835.0,1334479.25
73,-20.477184295654297,13.6875,-4.07316517829895,1303835.0,1334479.25
74,-17.359718561172485,13.6875,-11.599392890930176,1307318.5625,1335837.5
75,-11.599392890930176,13.6875,-17.359718561172485,1308872.1875,1337872.75
76,-4.07316517829895,13.6875,-20.477184295654297,1310279.875,1340386.5
77,4.07316517829895,13.6875,-20.477184295654297,1316829.125,1350128.75
78,11.599392890930176,13.6875,-17.359718561172485,1329111.8125,1364585.0
79,17.359718561172485,13.6875,-11.599392890930176,1340131.625,1376412.125
80,20.477184295654297,13.6875,-4.07316517829895,1344844.875,1381556.5
81,18.91788387298584,16.729166507720947,3.7630010843276978,1165718.75,1170379.75
82,16.03780746459961,16.729166507720947,10.7161203622818,1159825.6875,1164999.875
83,10.7161203622818,16.729166507720947,16.03780746459961,1146379.375,1152375.125
84,3.7630010843276978,16.729166507720947,18.91788387298584,1126851.0,1131198.0
85,-3.7630010843276978,16.729166507720947,18.91788387298584,1110127.0625,1118174.375
86,-10.7161203622818,16.729166507720947,16.03780746459961,1102926.9375,1115367.625
87,-16.03780746459961,16.729166507720947,10.7161203622818,1103313.625,1113067.875
88,-18.91788387298584,16.729166507720947,3.7630010843276978,1105942.25,1111229.75
89,-18.91788387298584,16.729166507720947,-3.7630010843276978,1105942.25,1111229.75
90,-16.03780746459961,16.729166507720947,-10.7161203622818,1103313.625,1113067.875
91,-10.7161203622818,16.729166507720947,-16.03780746459961,1102926.9375,1115367.625
92,-3.7630010843276978,16.729166507720947,-18.91788387298584,1110127.0625,1118174.375
93,3.7630010843276978,16.729166507720947,-18.91788387298584,1126851.0,1131198.0
94,10.7161203622818,16.729166507720947,-16.03780746459961,1146379.375,1152375.125
95,16.03780746459961,16.729166507720947,-10.7161203622818,1159825.6875,1164999.875
96,18.91788387298584,16.729166507720947,-3.7630010843276978,1165718.75,1170379.75
97,18.257030963897705,19.77083396911621,3.6315490007400513,801124.625,817053.1875
98,15.477563381195068,19.77083396911621,10.341776967048645,796762.375,812956.625
99,10.341776967048645,19.77083396911621,15.477563381195068,786740.78125,803130.6875
100,3.6315490007400513,19.77083396911621,18.257030963897705,769059.5,781000.25
101,-3.6315490007400513,19.77083396911621,18.257030963897705,750216.96875,764691.3125
102,-10.341776967048645,19.77083396911621,15.477563381195068,740548.90625,759742.4375
103,-15.477563381195068,19.77083396911621,10.341776967048645,743055.6875,758333.0625
104,-18.257030963897705,19.77083396911621,3.6315490007400513,749775.46875,760639.125
105,-18.257030963897705,19.77083396911621,-3.6315490007400513,749775.46875,760639.125
106,-15.477563381195068,19.77083396911621,-10.341776967048645,743055.6875,758333.0625
107,-10.341776967048645,19.77083396911621,-15.477563381195068,740548.90625,759742.4375
108,-3.6315490007400513,19.77083396911621,-18.257030963897705,750216.96875,764691.3125
109,3.6315490007400513,19.77083396911621,-18.257030963897705,769059.5,781000.25
110,10.341776967048645,19.77083396911621,-15.477563381195068,786740.78125,803130.6875
111,15.477563381195068,19.77083396911621,-10.341776967048645,796762.375,812956.625
112,18.257030963897705,19.77083396911621,-3.6315490007400513,801124.625,817053.1875
113,18.375338077545166,22.8125,3.6550817489624023,561678.59375,575984.6875
114,15.57785964012146,22.8125,10.408792734146118,559257.15625,573769.0
115,10.408792734146118,22.8125,15.57785964012146,554341.34375,567748.4375
116,3.6550817489624023,22.8125,18.375338077545166,543879.1875,553426.625
117,-3.6550817489624023,22.8125,18.375338077545166,527485.3125,538528.0625
118,-10.408792734146118,22.8125,15.57785964012146,516786.765625,530046.5
119,-15.57785964012146,22.8125,10.408792734146118,520841.796875,531575.1875
120,-18.375338077545166,22.8125,3.6550817489624023,530150.71875,537769.0
121,-18.375338077545166,22.8125,-3.6550817489624023,530150.71875,537769.0
122,-15.57785964012146,22.8125,-10.408792734146118,520841.796875,531575.1875
123,-10.408792734146118,22.8125,-15.57785964012146,516786.765625,530046.5
124,-3.6550817489624023,22.8125,-18.375338077545166,527485.3125,538528.0625
125,3.6550817489624023,22.8125,-18.375338077545166,543879.1875,553426.625
126,10.408792734146118,22.8125,-15.57785964012146,554341.34375,567748.4375
127,15.57785964012146,22.8125,-10.408792734146118,559257.15625,573769.0
128,18.375338077545166,22.8125,-3.6550817489624023,561678.59375,575984.6875
129,19.19510555267334,25.85416603088379,3.818143844604492,394503.65625,447939.25
130,16.272825002670288,25.85416603088379,10.873153924942017,392953.171875,444791.53125
131,10.873153924942017,25.85416603088379,16.272825002670288,389558.703125,439459.84375
132,3.818143844604492,25.85416603088379,19.19510555267334,383695.140625,430644.59375
133,-3.818143844604492,25.85416603088379,19.19510555267334,369595.34375,411894.9375
134,-10.873153924942017,25.85416603088379,16.272825002670288,356447.53125,397446.46875
135,-16.272825002670288,25.85416603088379,10.873153924942017,360171.359375,400903.5
136,-19.19510555267334,25.85416603088379,3.818143844604492,368859.796875,410390.0
