job_name,case_id,case_label,scenario_id,algorithm,selection_status,mesh_level,case_variant,load_case,max_radius_abs_diff_m,max_segment_height_abs_diff_m,total_height_abs_diff_m,base_diameter_abs_diff_m,top_diameter_abs_diff_m,tolerance_m,status
task7_s1_bfgs_coarse,s1_bfgs,S1 / BFGS,S1,BFGS,warning_noncompliant,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_bfgs_refined,s1_bfgs,S1 / BFGS,S1,BFGS,warning_noncompliant,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_bfgs_refined_gravity_only,s1_bfgs,S1 / BFGS,S1,BFGS,warning_noncompliant,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_bfgs_refined_wind_only,s1_bfgs,S1 / BFGS,S1,BFGS,warning_noncompliant,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_pso_coarse,s1_pso,S1 / PSO,S1,PSO,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_pso_refined,s1_pso,S1 / PSO,S1,PSO,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_pso_refined_gravity_only,s1_pso,S1 / PSO,S1,PSO,engineering_feasible,refined,load_decomposition,gravity_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_pso_refined_wind_only,s1_pso,S1 / PSO,S1,PSO,engineering_feasible,refined,load_decomposition,wind_only,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_sa_coarse,s1_sa,S1 / SA,S1,SA,engineering_feasible,coarse,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
task7_s1_sa_refined,s1_sa,S1 / SA,S1,SA,engineering_feasible,refined,comparison,combined,0.0,0.0,0.0,0.0,0.0,1e-09,pass
